Date,UBS - MS Accumulated Oriented Area
2020-09-26,0.0004782502953113826
2020-09-27,0.0004806344193773517
2020-09-28,0.0004854523242386996
2020-09-29,0.0005988416929185252
2020-09-30,0.0005164958607881936
2020-10-01,0.0006567268520165843
2020-10-02,0.0006166600289663506
2020-10-03,0.0006184971990686465
2020-10-04,0.0006203343691709427
2020-10-05,0.0006190484154861302
2020-10-06,0.0007081474176385068
2020-10-07,0.0006609545740929909
2020-10-08,0.0006430507366367926
2020-10-09,0.0006336570204921912
2020-10-10,0.0006353458864320669
2020-10-11,0.0006370347523719428
2020-10-12,0.0004946560045700128
2020-10-13,0.0004885309685149417
2020-10-14,0.0004430047397073855
2020-10-15,0.0003651831301992674
2020-10-16,0.0003523694993467718
2020-10-17,0.00035443138956871767
2020-10-18,0.0003564932797906679
2020-10-19,0.00046567408000446064
2020-10-20,0.0005435596947570107
2020-10-21,0.000600768952433128
2020-10-22,0.0005373352305610107
2020-10-23,0.0005314290794781629
2020-10-24,0.0005329041250851517
2020-10-25,0.0005343791706921449
2020-10-26,0.0006434269494262797
2020-10-27,0.0007168112618202724
2020-10-28,0.000676180049996024
2020-10-29,0.0006219666898189453
2020-10-30,0.0006488218392062047
2020-10-31,0.0006504174094374397
2020-11-01,0.0006520129796686783
2020-11-02,0.0006035050430437841
2020-11-03,0.0006345023579533053
2020-11-04,0.0005873081233472976
2020-11-05,0.0006116847891685466
2020-11-06,0.0006562214434064099
2020-11-07,0.0006572579966462901
2020-11-08,0.0006582945498861733
2020-11-09,0.00048371729675663277
2020-11-10,0.000511614153134465
2020-11-11,0.00048265007721496494
2020-11-12,0.0005052948265609658
2020-11-13,0.0004735664167017143
2020-11-14,0.00047471655528437883
2020-11-15,0.000475866693867046
2020-11-16,0.0004562942717832707
2020-11-17,0.0004457965473383461
2020-11-18,0.0004360879553358659
2020-11-19,0.00045280352890416536
2020-11-20,0.0004771939502603553
2020-11-21,0.0004780001487675585
2020-11-22,0.000478806347274763
2020-11-23,0.0004090263285815021
2020-11-24,0.0003190629654432867
2020-11-25,0.0003273948852089224
2020-11-26,0.00032860587136754457
2020-11-27,0.00032194962177459685
2020-11-28,0.00032323372161620475
2020-11-29,0.00032451782145781136
2020-11-30,0.00039670487939683823
