Date,UBS - NWG Accumulated Oriented Area
2020-07-06,0.003227100662557135
2020-07-07,0.003202466045037487
2020-07-08,0.003252995571496547
2020-07-09,0.003229794619225555
2020-07-10,0.003245691686309167
2020-07-11,0.003243555542837208
2020-07-12,0.003241419399365246
2020-07-13,0.0032039727710184845
2020-07-14,0.0034242095080183046
2020-07-15,0.003316498577086489
2020-07-16,0.003355804970154883
2020-07-17,0.0033788279222960755
2020-07-18,0.003376574376028476
2020-07-19,0.0033743208297608756
2020-07-20,0.0033445372675396483
2020-07-21,0.003449095389832133
2020-07-22,0.0034885117189695737
2020-07-23,0.0034818712475095217
2020-07-24,0.0035196447149087135
2020-07-25,0.003517209605198583
2020-07-26,0.003514774495488453
2020-07-27,0.0036224612989996406
2020-07-28,0.0034313637506591084
2020-07-29,0.0033710087928816466
2020-07-30,0.0033782145346642626
2020-07-31,0.0033685098408787343
2020-08-01,0.003365912400957326
2020-08-02,0.0033633149610359163
2020-08-03,0.003327983039016131
2020-08-04,0.003344479924085242
2020-08-05,0.003480440320288451
2020-08-06,0.0034865769169958156
2020-08-07,0.0034642619125094757
2020-08-08,0.0034618643931639188
2020-08-09,0.003459466873818362
2020-08-10,0.003448117126209087
2020-08-11,0.003394203469179644
2020-08-12,0.0034962159722722614
2020-08-13,0.0034897318387887297
2020-08-14,0.0034361733652203148
2020-08-15,0.0034338899452693947
2020-08-16,0.0034316065253184713
2020-08-17,0.003457097477920837
2020-08-18,0.0033873376529734815
2020-08-19,0.003372897119439867
2020-08-20,0.003337987937836835
2020-08-21,0.0033543011440910248
2020-08-22,0.003351895595829538
2020-08-23,0.0033494900475680555
2020-08-24,0.003440195586552766
2020-08-25,0.0034238929049563195
2020-08-26,0.0034800179251442053
2020-08-27,0.0034779619369184984
2020-08-28,0.0034723370841620474
2020-08-29,0.0034699727163147375
2020-08-30,0.003467608348467427
2020-08-31,0.0033983012866903657
2020-09-01,0.0035031902500244714
2020-09-02,0.003692206806548297
2020-09-03,0.0036024423624814103
2020-09-04,0.003534012357948278
2020-09-05,0.0035314824648012286
2020-09-06,0.0035289525716541807
2020-09-07,0.003526422678507131
2020-09-08,0.0035109863119685285
2020-09-09,0.0037242306596680444
2020-09-10,0.003718423141787143
2020-09-11,0.0037528107867892077
2020-09-12,0.003749913485232516
2020-09-13,0.003747016183675825
2020-09-14,0.003924781545927617
2020-09-15,0.0037966264234864508
2020-09-16,0.003753739673718077
2020-09-17,0.0037576530769796394
2020-09-18,0.0036950004046973697
2020-09-19,0.0036919597928345843
2020-09-20,0.003688919180971798
2020-09-21,0.003359669553570587
2020-09-22,0.003112402513551581
2020-09-23,0.00286592735158259
2020-09-24,0.0026308595909099635
2020-09-25,0.002408592924817262
2020-09-26,0.0024057728726713176
2020-09-27,0.0024029528205253697
2020-09-28,0.0025095141673399566
2020-09-29,0.0025752947303621394
2020-09-30,0.0026047935479476345
2020-10-01,0.002598076383703991
2020-10-02,0.002536581409432683
2020-10-03,0.0025341368949198893
2020-10-04,0.002531692380407096
2020-10-05,0.0026663981966071806
2020-10-06,0.002578644507360536
2020-10-07,0.002691644010332741
2020-10-08,0.002707551944932986
2020-10-09,0.00262708551287356
2020-10-10,0.0026247225515459343
2020-10-11,0.0026223595902183086
2020-10-12,0.002683101247502282
2020-10-13,0.002775583850071505
2020-10-14,0.0026045288605705975
2020-10-15,0.0025685547762346
2020-10-16,0.00259847378809571
2020-10-17,0.002596076678318923
2020-10-18,0.002593679568542136
2020-10-19,0.0026378517144671335
2020-10-20,0.0029925617654581608
2020-10-21,0.0028304283765889105
2020-10-22,0.0028764228946806256
2020-10-23,0.002806345117108492
2020-10-24,0.0028042121488504714
2020-10-25,0.0028020791805924506
2020-10-26,0.00277434334991247
2020-10-27,0.0027209179234073577
2020-10-28,0.0025425271778753353
2020-10-29,0.0024384710972835157
2020-10-30,0.0023315204349465077
2020-10-31,0.002329486883665633
2020-11-01,0.002327453332384758
2020-11-02,0.0026191936635564022
2020-11-03,0.0027793482866234924
2020-11-04,0.002778074099765983
2020-11-05,0.0029571076594632905
2020-11-06,0.003002229170738807
2020-11-07,0.0030000889144689118
2020-11-08,0.00299794865819902
2020-11-09,0.0029347499401662404
2020-11-10,0.0029622353498763927
2020-11-11,0.002911533402575831
2020-11-12,0.0028871718854777424
2020-11-13,0.0028845896770223886
2020-11-14,0.0028830707316409676
2020-11-15,0.002881551786259546
2020-11-16,0.002995796424374429
2020-11-17,0.003031432312542445
2020-11-18,0.002965646996021124
2020-11-19,0.0030102584854490395
2020-11-20,0.0030019530563028993
2020-11-21,0.003000614289583559
2020-11-22,0.002999275522864218
2020-11-23,0.0030065543212133596
2020-11-24,0.0029782211498160438
2020-11-25,0.0029731903626648085
2020-11-26,0.0029720716869032246
2020-11-27,0.0029775541672274097
2020-11-28,0.002976370109509609
2020-11-29,0.002975186051791809
2020-11-30,0.0029512903985968843
2020-12-01,0.002926323840179372
2020-12-02,0.002922301097142269
2020-12-03,0.0028810043713181563
2020-12-04,0.002850654049304176
2020-12-05,0.002849744432635098
2020-12-06,0.0028488348159660193
2020-12-07,0.002908378218766553
2020-12-08,0.002892375856136525
2020-12-09,0.0028810949779772173
2020-12-10,0.0028768417226237475
2020-12-11,0.0029604654001672464
2020-12-12,0.00295900721403897
2020-12-13,0.0029575490279106944
2020-12-14,0.0028685569689657275
2020-12-15,0.00290307880451463
2020-12-16,0.0028659113309168686
2020-12-17,0.0028227461085501004
2020-12-18,0.0028710678320145798
2020-12-19,0.002869858326044916
