Date,UBS - UNCRY Accumulated Oriented Area
2019-12-01,-6.720414959385403e-05
2019-12-02,-3.032338008553538e-05
2019-12-03,-1.590889880485739e-05
2019-12-04,-5.900038829496028e-05
2019-12-05,-2.8651008504769135e-05
2019-12-06,-7.500809557300215e-05
2019-12-07,-7.391344808941111e-05
2019-12-08,-7.281880060582008e-05
2019-12-09,-7.843946545038264e-05
2019-12-10,-9.17611248709378e-05
2019-12-11,-8.329256058315341e-05
2019-12-12,-0.0002185430094729172
2019-12-13,-0.0001850650584046607
2019-12-14,-0.00018386845877192714
2019-12-15,-0.00018267185913919368
2019-12-16,-0.00023903676007095217
2019-12-17,-0.0002641968447254808
2019-12-18,-0.00023874347501584678
2019-12-19,-0.0002523545716497994
2019-12-20,-0.00023720555917285753
2019-12-21,-0.00023592466406450628
2019-12-22,-0.00023464376895615492
2019-12-23,-0.0002310139514659011
2019-12-24,-0.00021345289605490648
2019-12-25,-0.00021224123563949512
2019-12-26,-0.00024197202269452597
2019-12-27,-0.0002183586538380449
2019-12-28,-0.00021717845928714927
2019-12-29,-0.00021599826473625501
2019-12-30,-0.00022216484312899713
2019-12-31,-0.0002273349132051134
2020-01-01,-0.00022616846755675694
2020-01-02,-0.0003431780802197822
2020-01-03,-0.00027759312723795685
2020-01-04,-0.0002763556486647294
2020-01-05,-0.000275118170091502
2020-01-06,-0.00023679789441230113
2020-01-07,-0.0002856926755507035
2020-01-08,-0.00033389518560403893
2020-01-09,-0.0003486913125797752
2020-01-10,-0.00030822787789034733
2020-01-11,-0.0003070357015654917
2020-01-12,-0.00030584352524063623
2020-01-13,-0.0003256549495142168
2020-01-14,-0.0003234440009998079
2020-01-15,-0.0002856472032291039
2020-01-16,-0.00031623812744151577
2020-01-17,-0.0002993787374499097
2020-01-18,-0.00029832385558648563
2020-01-19,-0.00029726897372306155
2020-01-20,-0.0002962140918596372
2020-01-21,-0.0001748293386938772
2020-01-22,-0.00017444793554104415
2020-01-23,-0.00017305005653413632
2020-01-24,-0.00011184144995507683
2020-01-25,-0.00011100469455565637
2020-01-26,-0.0001101679391562359
2020-01-27,-9.638092146139457e-05
2020-01-28,-0.00013273580500171588
2020-01-29,-0.00013562522591868746
2020-01-30,-0.0001134944426696395
2020-01-31,-5.305376907871527e-05
2020-02-01,-5.223268475924056e-05
2020-02-02,-5.1411600439765304e-05
2020-02-03,-4.688827449081628e-05
2020-02-04,-0.00013839756949404606
2020-02-05,-0.0002090952146303239
2020-02-06,-0.0003262292643331756
2020-02-07,-0.00033292378311610386
2020-02-08,-0.00033167508123563505
2020-02-09,-0.00033042637935516743
2020-02-10,-0.0003656006433895503
2020-02-11,-0.00040549866950655974
2020-02-12,-0.00043416186582355474
2020-02-13,-0.0003892561001465558
2020-02-14,-0.00035868167918264997
2020-02-15,-0.0003574821974255642
2020-02-16,-0.00035628271566847834
2020-02-17,-0.0003550832339113935
2020-02-18,-0.00037488650880922436
2020-02-19,-0.00037304519397484087
2020-02-20,-0.00035983519582131714
2020-02-21,-0.00025347849976119566
2020-02-22,-0.0002524983434449148
2020-02-23,-0.000251518187128634
2020-02-24,-9.800756456420788e-05
2020-02-25,-7.021358910344925e-06
2020-02-26,-2.3954800333942533e-06
2020-02-27,0.00010647667504655678
2020-02-28,0.00023979529297349302
2020-02-29,0.0002406036865306176
2020-03-01,0.00024141208008774236
2020-03-02,0.00024304106560098097
2020-03-03,0.00048605447714029107
2020-03-04,0.0005015500056330508
2020-03-05,0.0005661972931871886
2020-03-06,0.0005782463366461077
2020-03-07,0.0005786697999722922
2020-03-08,0.0005790932632984767
2020-03-09,0.0011101665304440458
2020-03-10,0.001102966460898185
2020-03-11,0.0012237681619602495
2020-03-12,0.0015973791591787836
2020-03-13,0.0010246755791284224
2020-03-14,0.001024632603188374
2020-03-15,0.0010245896272483245
2020-03-16,0.001721157147752208
2020-03-17,0.002168108529365093
2020-03-18,0.0019082624016830388
2020-03-19,0.0015688413520566875
2020-03-20,0.001387611342481759
2020-03-21,0.0013873186814321158
2020-03-22,0.001387026020382475
2020-03-23,0.001481079285832531
2020-03-24,0.0014264393181283538
2020-03-25,0.0012731943310971892
2020-03-26,0.0015377201527568705
2020-03-27,0.0016665500047002833
2020-03-28,0.0016660585117527636
2020-03-29,0.0016655670188052431
2020-03-30,0.0018332401560678655
2020-03-31,0.0020901358423772312
2020-04-01,0.002291452099589188
2020-04-02,0.0023220844480383307
2020-04-03,0.002505397513086483
2020-04-04,0.002504104219433855
2020-04-05,0.0025028109257812254
2020-04-06,0.0021253341250711284
2020-04-07,0.0021586700133007035
2020-04-08,0.00206472176782468
2020-04-09,0.0022339574129253328
2020-04-10,0.0022331219467106264
2020-04-11,0.00223228648049592
2020-04-12,0.002231451014281214
2020-04-13,0.0022360865615304697
2020-04-14,0.002328959562052818
2020-04-15,0.002573545035164669
2020-04-16,0.002281064359754157
2020-04-17,0.002380121104605972
2020-04-18,0.002379027453457459
2020-04-19,0.0023779338023089463
2020-04-20,0.0025698619265399907
2020-04-21,0.0023935777656322044
2020-04-22,0.002297800852903465
2020-04-23,0.0023572642199422783
2020-04-24,0.002448008007067792
2020-04-25,0.0024467757987503246
2020-04-26,0.002445543590432855
2020-04-27,0.0024248678616267663
2020-04-28,0.002616479385252296
2020-04-29,0.0028117309889554975
2020-04-30,0.0028940060062006613
2020-05-01,0.0028196492247681473
2020-05-02,0.002818251072349706
2020-05-03,0.002816852919931265
2020-05-04,0.0026782636532573408
2020-05-05,0.0025420589611268012
2020-05-06,0.002555842146873862
2020-05-07,0.00275045477810904
2020-05-08,0.0027255529216668956
2020-05-09,0.0027241159189040796
2020-05-10,0.0027226789161412628
2020-05-11,0.0025606152543986827
2020-05-12,0.0024757354182381305
2020-05-13,0.002540821925503982
2020-05-14,0.002594035228123044
2020-05-15,0.002593158651545297
2020-05-16,0.0025916201627506625
2020-05-17,0.0025900816739560287
2020-05-18,0.0026537047164782585
2020-05-19,0.0027143253347372736
2020-05-20,0.0028345424893616612
2020-05-21,0.0028208848060057596
2020-05-22,0.002494835726837923
2020-05-23,0.0024935650815681816
2020-05-24,0.0024922944362984387
2020-05-25,0.0024910237910286967
2020-05-26,0.0026059850066277174
2020-05-27,0.002502017971186964
2020-05-28,0.0023912187599050023
2020-05-29,0.00232465985898702
