Date,UBS - USB Accumulated Oriented Area
2019-06-12,0.00041579005013207544
2019-06-13,0.0004247763309369358
2019-06-14,0.00045321323038945973
2019-06-15,0.00045378779716914394
2019-06-16,0.00045436236394882907
2019-06-17,0.0005086416482801537
2019-06-18,0.0004540425637365894
2019-06-19,0.00044298954144302813
2019-06-20,0.00044215630946115746
2019-06-21,0.0004580843794191836
2019-06-22,0.00045863323168455545
2019-06-23,0.0004591820839499282
2019-06-24,0.00045502567039025824
2019-06-25,0.0004781991444781354
2019-06-26,0.0004654998515184083
2019-06-27,0.00044157474295833713
2019-06-28,0.00042650909310396106
2019-06-29,0.0004270958922718887
2019-06-30,0.0004276826914398171
2019-07-01,0.000399900714375297
2019-07-02,0.0003979121677686119
2019-07-03,0.0003781743140391161
2019-07-04,0.0003788634120539064
