Date,UBS - BMO Accumulated Oriented Area
2021-01-08,0.0035593746162807696
2021-01-09,0.0035595289187653886
2021-01-10,0.0035596832212500084
2021-01-11,0.0035647505395007303
2021-01-12,0.003567187583980555
2021-01-13,0.0035596284921780756
2021-01-14,0.0035553384215036374
2021-01-15,0.003545294805994789
2021-01-16,0.003545524401343917
2021-01-17,0.003545753996693043
2021-01-18,0.0035459835920421713
2021-01-19,0.003540900538771983
2021-01-20,0.00354693598278333
2021-01-21,0.0035683240573899525
2021-01-22,0.003589261891679829
2021-01-23,0.0035893899296876083
2021-01-24,0.0035895179676953878
2021-01-25,0.0035577340031422403
2021-01-26,0.0035806016064769174
2021-01-27,0.0035869039144837724
2021-01-28,0.003606964216098851
2021-01-29,0.003607058868989414
2021-01-30,0.0036071527528103355
2021-01-31,0.003607246636631256
2021-02-01,0.0036276662989852397
2021-02-02,0.003621882841707405
2021-02-03,0.003634949791053862
2021-02-04,0.0036100470230161345
2021-02-05,0.0036016130696330142
2021-02-06,0.0036017250112463013
2021-02-07,0.003601836952859589
2021-02-08,0.0036276840745291536
2021-02-09,0.0036263765441069307
2021-02-10,0.0036378298219199904
2021-02-11,0.0036343931017099144
2021-02-12,0.003630045300610452
2021-02-13,0.0036300444262592577
2021-02-14,0.003630043551908063
2021-02-15,0.0036300426775568687
2021-02-16,0.0036499872622688606
2021-02-17,0.0036248276203798818
2021-02-18,0.0036061544571089066
2021-02-19,0.0035827722045085946
2021-02-20,0.0035829809437919495
2021-02-21,0.0035831896830753056
2021-02-22,0.003582712792062609
2021-02-23,0.0035417056863233237
2021-02-24,0.0034978741098247268
2021-02-25,0.0035313178131051127
2021-02-26,0.0035648272737278603
2021-02-27,0.003565120907773132
2021-02-28,0.003565414541818402
2021-03-01,0.00353219112895418
2021-03-02,0.003515165924624258
2021-03-03,0.0035219202942221592
2021-03-04,0.0035387492243799928
2021-03-05,0.0035145528009692248
2021-03-06,0.0035150707506141055
2021-03-07,0.0035155887002589876
2021-03-08,0.0035060828999534128
2021-03-09,0.003512708404034767
2021-03-10,0.0034853297861270577
2021-03-11,0.003491206268067865
2021-03-12,0.0034779730517951325
2021-03-13,0.0034787298274864954
2021-03-14,0.0034794866031778574
2021-03-15,0.0034888131655564014
2021-03-16,0.0034822048845277696
2021-03-17,0.0034535238507803732
2021-03-18,0.0034369844980645567
2021-03-19,0.0034389670966413345
2021-03-20,0.0034396245193806375
2021-03-21,0.003440281942119942
2021-03-22,0.0034470225507039955
2021-03-23,0.003480152987803394
2021-03-24,0.0034668314559087917
2021-03-25,0.003440026591336621
2021-03-26,0.00343002437235213
2021-03-27,0.0034307249701287902
2021-03-28,0.003431425567905451
2021-03-29,0.0034671463341619563
2021-03-30,0.0034613787613176324
2021-03-31,0.0034752390562361136
2021-04-01,0.003443201089186084
2021-04-02,0.003443957934851394
2021-04-03,0.003444714780516703
2021-04-04,0.0034454716261820137
2021-04-05,0.0034267177927238108
2021-04-06,0.003423645853757284
2021-04-07,0.003421304481669109
2021-04-08,0.0034153928045237685
2021-04-09,0.003408326724236813
2021-04-10,0.003409091646030232
2021-04-11,0.0034098565678236507
2021-04-12,0.003408097710467997
2021-04-13,0.0034642202754464647
2021-04-14,0.0034466771206083566
2021-04-15,0.0034398815214718003
2021-04-16,0.0034194038923521866
2021-04-17,0.003420198588705359
2021-04-18,0.00342099328505853
2021-04-19,0.0034441606393780556
2021-04-20,0.003493650253715991
2021-04-21,0.00346615482616682
2021-04-22,0.0034859926946596304
2021-04-23,0.0034371133643806423
2021-04-24,0.0034381848876633907
2021-04-25,0.0034392564109461407
2021-04-26,0.0034118133532244077
2021-04-27,0.0034272675852041576
2021-04-28,0.0033793315938731843
2021-04-29,0.0033669312799591835
2021-04-30,0.0034223957545174077
2021-05-01,0.0034235597525284454
2021-05-02,0.003424723750539481
2021-05-03,0.003419532167681651
2021-05-04,0.0034634998421384463
2021-05-05,0.003411586279692105
2021-05-06,0.0033494613673032674
2021-05-07,0.0033240082928830965
2021-05-08,0.0033251952172054186
2021-05-09,0.0033263821415277423
2021-05-10,0.003365560865819615
2021-05-11,0.003419703720536638
2021-05-12,0.003456834652074296
2021-05-13,0.0033714310708486835
2021-05-14,0.003315893048548096
2021-05-15,0.0033173025194853374
2021-05-16,0.003318711990422577
2021-05-17,0.0032866396892121596
2021-05-18,0.0032845469683314586
2021-05-19,0.00329968779978368
2021-05-20,0.0032405505840855165
2021-05-21,0.0032131666315437543
2021-05-22,0.003214648520485925
2021-05-23,0.003216130409428096
2021-05-24,0.0032012263901569525
2021-05-25,0.003203050986992293
2021-05-26,0.0032009584003796928
2021-05-27,0.0031396789501038636
2021-05-28,0.0031088228719077004
2021-05-29,0.0031102975460236596
2021-05-30,0.003111772220139618
2021-05-31,0.003113246894255577
2021-06-01,0.0030821906135903715
2021-06-02,0.003096129335761876
2021-06-03,0.0030783221343965977
2021-06-04,0.0030907221403537757
2021-06-05,0.003092225068559578
2021-06-06,0.0030937279967653813
2021-06-07,0.0030913861500330856
2021-06-08,0.0031032696484582256
2021-06-09,0.003146146832297256
2021-06-10,0.0031628811742547224
2021-06-11,0.003161078323909595
2021-06-12,0.0031625538353735236
