Date,UBS - IBKR Accumulated Oriented Area
2021-07-10,0.0027393005118371908
2021-07-11,0.002739745753421379
2021-07-12,0.0027747031603928105
2021-07-13,0.002799070605077375
2021-07-14,0.0028361336406813485
2021-07-15,0.0028242593176462
2021-07-16,0.0028503990927572424
2021-07-17,0.0028506136309745505
2021-07-18,0.002850828169191859
2021-07-19,0.002849385395498524
2021-07-20,0.0029392315302440037
2021-07-21,0.0030142150512348655
2021-07-22,0.0030756910826446092
2021-07-23,0.003144404272379422
2021-07-24,0.0031439172824083194
2021-07-25,0.003143430292437217
2021-07-26,0.003208757916666521
2021-07-27,0.003215442266262103
2021-07-28,0.0031647321365647755
2021-07-29,0.003204734831819006
2021-07-30,0.0032106973774657117
2021-07-31,0.003210123006734607
2021-08-01,0.003209548636003503
2021-08-02,0.0031890342447069824
2021-08-03,0.0032616637772340806
2021-08-04,0.003223814521501057
2021-08-05,0.0032345034660781124
2021-08-06,0.0032317925703334353
2021-08-07,0.0032312631529044364
2021-08-08,0.003230733735475438
2021-08-09,0.003218196031656803
2021-08-10,0.003228860152962114
2021-08-11,0.0032461471045465693
2021-08-12,0.0032535662893948708
2021-08-13,0.0032677883367092063
2021-08-14,0.003267136828850202
2021-08-15,0.003266485320991198
2021-08-16,0.0032717745772287508
2021-08-17,0.003254200383601342
2021-08-18,0.0032396949154023433
2021-08-19,0.003220446654312591
2021-08-20,0.003193360406697424
2021-08-21,0.003192744633992502
2021-08-22,0.0031921288612875823
2021-08-23,0.003200265293008496
2021-08-24,0.0031975812299630015
2021-08-25,0.0031992541973841844
2021-08-26,0.0031645665054839765
2021-08-27,0.003148374776026507
2021-08-28,0.0031480468780799254
2021-08-29,0.0031477189801333437
2021-08-30,0.0031378495870782305
2021-08-31,0.003129729114633457
2021-09-01,0.003121303173818009
2021-09-02,0.0031400576547122743
2021-09-03,0.0031420564584995563
2021-09-04,0.003141705653718206
2021-09-05,0.003141354848936858
2021-09-06,0.0031410040441555097
2021-09-07,0.00313529664203174
2021-09-08,0.0031638611630664284
2021-09-09,0.0031455267846310464
2021-09-10,0.0031629645735970105
2021-09-11,0.003162482309736044
2021-09-12,0.0031620000458750775
2021-09-13,0.0032179600154770747
2021-09-14,0.0032111462963596246
2021-09-15,0.003230668877086253
2021-09-16,0.0032426479259716635
2021-09-17,0.003165751642533885
2021-09-18,0.003165172445482702
2021-09-19,0.0031645932484315195
2021-09-20,0.0030201749294816184
2021-09-21,0.0030043229360731437
2021-09-22,0.0030412457100925847
2021-09-23,0.002978361658251557
2021-09-24,0.0029673698487066224
2021-09-25,0.002967141757063247
2021-09-26,0.002966913665419872
2021-09-27,0.002877155160537457
2021-09-28,0.0028721172067794013
2021-09-29,0.0029204684790534517
2021-09-30,0.002994372228145738
2021-10-01,0.0028875021134317047
2021-10-02,0.0028874649534985078
2021-10-03,0.002887427793565312
2021-10-04,0.002922073642023048
2021-10-05,0.002810269204873029
2021-10-06,0.002717387817911702
2021-10-07,0.002686557959268407
2021-10-08,0.002665369404563526
2021-10-09,0.002665830254520512
2021-10-10,0.002666291104477498
2021-10-11,0.002657071977696371
2021-10-12,0.002664138001169187
2021-10-13,0.0026891858653946034
2021-10-14,0.002715400786819475
2021-10-15,0.0027164174521338218
2021-10-16,0.002716604217460737
2021-10-17,0.0027167909827876522
2021-10-18,0.0027015002315384142
2021-10-19,0.0026554800054014987
2021-10-20,0.0026296955144754068
2021-10-21,0.0026480205280407466
2021-10-22,0.002642169240816772
2021-10-23,0.002642570042912703
2021-10-24,0.0026429708450086335
2021-10-25,0.002652566381567712
2021-10-26,0.0026730870212358622
2021-10-27,0.0026880064086892024
2021-10-28,0.0027076104125017004
2021-10-29,0.0027031342454051223
2021-10-30,0.0027029831326902
2021-10-31,0.002702832019975277
2021-11-01,0.0026857453306839345
2021-11-02,0.0026867875934222696
2021-11-03,0.002681248270119504
2021-11-04,0.002689475052032744
2021-11-05,0.002697416314980285
2021-11-06,0.0026975092444319368
2021-11-07,0.002697602173883588
2021-11-08,0.0026982101806818717
2021-11-09,0.002705487878418647
2021-11-10,0.0026961803842546384
2021-11-11,0.002698147333242788
2021-11-12,0.002694637684378151
2021-11-13,0.0026947752166666876
2021-11-14,0.002694912748955224
2021-11-15,0.0026851324225472227
2021-11-16,0.0026810534068829046
2021-11-17,0.0026896272181517003
2021-11-18,0.0026773562938370845
2021-11-19,0.0026755921647011746
2021-11-20,0.0026760662111941997
2021-11-21,0.0026765402576872242
2021-11-22,0.0026429953448617216
2021-11-23,0.002629434166920972
2021-11-24,0.002614149347586083
2021-11-25,0.0026148419112057234
2021-11-26,0.002693330273439642
2021-11-27,0.002693938857722334
2021-11-28,0.002694547442005025
2021-11-29,0.00266689572786241
2021-11-30,0.0027104510731688447
2021-12-01,0.002677620093051849
2021-12-02,0.002641128348787587
2021-12-03,0.002675927458861885
2021-12-04,0.0026764300171998627
2021-12-05,0.0026769325755378404
2021-12-06,0.0026659491263549976
2021-12-07,0.002641832813882748
2021-12-08,0.0026363041930968136
2021-12-09,0.002650939188132597
2021-12-10,0.0026544032965247835
2021-12-11,0.0026548993363486174
2021-12-12,0.0026553953761724513
2021-12-13,0.0026756314700465814
2021-12-14,0.002660449274780413
2021-12-15,0.0026504126399900458
2021-12-16,0.00260183176489105
2021-12-17,0.0026473259522091872
2021-12-18,0.0026480889577838954
2021-12-19,0.002648851963358603
2021-12-20,0.0027054382628292346
2021-12-21,0.0026451900750437173
2021-12-22,0.0026086820460240107
