Date,UBS - ING Accumulated Oriented Area
2019-06-07,0.0002619685332450309
2019-06-08,0.0002622532599664837
2019-06-09,0.00026253798668793657
2019-06-10,0.0002366388982015342
2019-06-11,0.00022452013183135245
2019-06-12,0.0002561031446805181
2019-06-13,0.0002704223606757448
2019-06-14,0.00029103497325912446
2019-06-15,0.0002912979204865205
2019-06-16,0.0002915608677139166
2019-06-17,0.0002910524497507699
2019-06-18,0.0002519131081485338
2019-06-19,0.0002362508509427619
2019-06-20,0.00024780471896521534
2019-06-21,0.0002735013827505092
2019-06-22,0.0002737902663629185
2019-06-23,0.0002740791499753278
2019-06-24,0.0002795269101620841
2019-06-25,0.00028101440818967613
2019-06-26,0.00024130479155439556
2019-06-27,0.00020159268867004412
2019-06-28,0.0002061995128324627
2019-06-29,0.0002066306118979231
