Date,MS - HDB Accumulated Oriented Area
2019-10-25,0.0001080372577235592
2019-10-26,0.00010878191212022805
2019-10-27,0.00010952656651689729
2019-10-28,9.92690991445002e-05
2019-10-29,9.609126734672156e-05
2019-10-30,0.00010867918666235341
2019-10-31,0.00011664931281350287
2019-11-01,7.816834259885625e-05
2019-11-02,7.903800657998733e-05
2019-11-03,7.990767056111814e-05
2019-11-04,3.835979328594655e-05
2019-11-05,4.115092961835254e-05
2019-11-06,4.676921014212317e-05
2019-11-07,4.457136733868397e-05
2019-11-08,3.104459726176547e-05
2019-11-09,3.187678581438995e-05
2019-11-10,3.270897436701437e-05
2019-11-11,3.52613997868458e-05
2019-11-12,3.819400799563555e-05
2019-11-13,5.596661104303396e-05
2019-11-14,4.954256032870504e-05
2019-11-15,3.954737642407363e-05
2019-11-16,4.0400996675514926e-05
2019-11-17,4.125461692695682e-05
2019-11-18,4.120787263552359e-05
2019-11-19,3.410865928988181e-05
2019-11-20,4.115065751208378e-05
2019-11-21,4.920177161975693e-05
2019-11-22,3.894595214579744e-05
2019-11-23,3.975337709485077e-05
2019-11-24,4.05608020439047e-05
2019-11-25,2.2288060293304326e-05
2019-11-26,3.998231554464212e-05
2019-11-27,2.9702379268730948e-05
2019-11-28,3.067964342852396e-05
2019-11-29,3.9497463849090016e-05
2019-11-30,4.03120564496123e-05
2019-12-01,4.1126649050134e-05
2019-12-02,5.27250611775624e-05
2019-12-03,8.153078034344896e-05
2019-12-04,5.866013648595104e-05
2019-12-05,5.267157241685633e-05
2019-12-06,3.2318344454812056e-05
2019-12-07,3.319012074180956e-05
2019-12-08,3.40618970288071e-05
2019-12-09,4.068052091124639e-05
2019-12-10,3.915292315377801e-05
2019-12-11,4.6794245901759146e-05
2019-12-12,8.662409248287642e-06
2019-12-13,2.3968163082741154e-05
2019-12-14,2.493627652102201e-05
2019-12-15,2.5904389959302853e-05
2019-12-16,1.1441556062926381e-05
2019-12-17,9.569415858549466e-06
2019-12-18,2.0026006999742536e-05
2019-12-19,1.2720827945515526e-05
2019-12-20,2.0138018061186714e-05
2019-12-21,2.118917748132258e-05
2019-12-22,2.2240336901458344e-05
2019-12-23,2.114984640541966e-05
2019-12-24,2.312567373230529e-05
2019-12-25,2.4113064596925707e-05
2019-12-26,1.084718789507519e-05
2019-12-27,1.1854568356644882e-05
2019-12-28,1.2759199188765452e-05
2019-12-29,1.3663830020886167e-05
2019-12-30,1.80376079856625e-05
2019-12-31,1.5052239182426243e-05
2020-01-01,1.5982988620027734e-05
2020-01-02,-1.0216405244720461e-05
2020-01-03,8.298189956656403e-06
2020-01-04,9.083316356946086e-06
2020-01-05,9.86844275723562e-06
2020-01-06,1.3005638044443514e-05
2020-01-07,1.5582851341259507e-05
2020-01-08,3.080014323732092e-06
2020-01-09,-3.992089493746437e-06
2020-01-10,-1.0024332327571668e-05
2020-01-11,-9.283586932332701e-06
2020-01-12,-8.542841537093476e-06
2020-01-13,-1.73316446035915e-05
2020-01-14,-1.896512619661441e-05
2020-01-15,-2.2644382389894775e-05
2020-01-16,-0.00011589997791166466
2020-01-17,-0.00013674876216945877
2020-01-18,-0.00013618681475407383
2020-01-19,-0.00013562486733868838
2020-01-20,-0.00013506291992330228
2020-01-21,-0.000155919623433751
2020-01-22,-0.00015791460199430347
2020-01-23,-0.0001558625396889158
2020-01-24,-0.00013566027958927362
2020-01-25,-0.00013528352034575855
2020-01-26,-0.00013490676110224445
2020-01-27,-0.0001268861458301156
2020-01-28,-0.00013670155689925244
2020-01-29,-0.0001318641459289543
2020-01-30,-0.00013741798596809764
2020-01-31,-0.00012583287013044164
2020-02-01,-0.0001256050382456642
2020-02-02,-0.00012537720636088674
2020-02-03,-0.00012703818342484424
2020-02-04,-0.00013375911670303586
2020-02-05,-0.00014600121304426473
2020-02-06,-0.00013888702857643443
2020-02-07,-0.00014839518589813055
2020-02-08,-0.00014808559735273168
2020-02-09,-0.00014777600880733278
2020-02-10,-0.00015036979496187912
2020-02-11,-0.00014688463020641587
2020-02-12,-0.00014869394639012995
2020-02-13,-0.00014561948750428636
2020-02-14,-0.00015767083489087432
2020-02-15,-0.00015738793330575193
2020-02-16,-0.00015710503172063024
2020-02-17,-0.00015682213013550853
2020-02-18,-0.0001525987573417853
2020-02-19,-0.00016544385869188695
2020-02-20,-0.00014405981728344034
2020-02-21,-0.00013363179812902941
2020-02-22,-0.0001333815185789265
2020-02-23,-0.00013313123902882355
2020-02-24,-0.00011100911138211853
2020-02-25,-9.424428798321377e-05
2020-02-26,-8.806441899421274e-05
2020-02-27,-7.843037135780938e-05
2020-02-28,-7.493186100579881e-05
2020-02-29,-7.474068781311655e-05
2020-03-01,-7.454951462043284e-05
2020-03-02,-6.524334725027712e-05
2020-03-03,-4.939654149876575e-05
2020-03-04,-1.8279840654752904e-05
2020-03-05,-1.6949175555347881e-06
2020-03-06,-1.1910826710170318e-05
2020-03-07,-1.2024965278645088e-05
2020-03-08,-1.2139103847122437e-05
2020-03-09,7.142054428082477e-06
2020-03-10,-3.5948069937497554e-05
2020-03-11,4.143393191895491e-05
2020-03-12,0.00010219889563486755
2020-03-13,0.00016400572153963983
2020-03-14,0.00016357818331956198
2020-03-15,0.0001631506450994833
2020-03-16,0.0002539592161923408
2020-03-17,-1.2759949938678006e-05
2020-03-18,0.00041991281788990537
2020-03-19,0.0011754359071861034
2020-03-20,0.0010747920104859988
2020-03-21,0.0010728650019688082
2020-03-22,0.0010709379934516208
2020-03-23,0.0018755591984160008
2020-03-24,0.0023860164039101518
2020-03-25,0.0019310721500463736
2020-03-26,0.0016247590743742855
2020-03-27,0.0016699477397781226
2020-03-28,0.0016684125749356707
2020-03-29,0.0016668774100932144
2020-03-30,0.0018239916575825631
2020-03-31,0.0017627979426761376
2020-04-01,0.0017851548535062424
2020-04-02,0.001877419093994406
2020-04-03,0.002274964347417333
2020-04-04,0.002272593893664777
2020-04-05,0.0022702234399122213
2020-04-06,0.0024004173477445824
2020-04-07,0.0023824020644438197
2020-04-08,0.002468761189315015
2020-04-09,0.0024717385281257604
2020-04-10,0.002470126187546311
2020-04-11,0.0024685138469668585
2020-04-12,0.0024669015063874086
2020-04-13,0.002419603169297101
2020-04-14,0.002333100313297657
2020-04-15,0.002403813913363859
2020-04-16,0.002482903497418637
2020-04-17,0.0023463473521343975
2020-04-18,0.0023446890625104526
