Date,GS - HDB Accumulated Oriented Area
2019-10-24,3.228415087428779e-05
2019-10-25,1.7651996966851398e-05
2019-10-26,1.8057463271500053e-05
2019-10-27,1.8462929576147913e-05
2019-10-28,-5.215077751135184e-07
2019-10-29,1.2622481240166205e-05
2019-10-30,3.2730289994583854e-05
2019-10-31,4.668716328978311e-05
2019-11-01,2.8569944815840166e-05
2019-11-02,2.9079711918274655e-05
2019-11-03,2.9589479020710106e-05
2019-11-04,1.487928309045607e-05
2019-11-05,1.0957042130307188e-05
2019-11-06,3.310421565806546e-05
2019-11-07,2.4349687547021873e-06
2019-11-08,-4.389570675338997e-06
2019-11-09,-3.90382820202109e-06
2019-11-10,-3.4180857287044496e-06
2019-11-11,2.3920800557171398e-05
2019-11-12,1.0083068041294351e-05
2019-11-13,1.633155014340995e-05
2019-11-14,2.6720282579254702e-05
2019-11-15,1.9236134407814797e-05
2019-11-16,1.9756546331298952e-05
2019-11-17,2.027695825478411e-05
2019-11-18,1.3808542255105395e-05
2019-11-19,1.2867824371776243e-05
2019-11-20,3.322174682936298e-05
2019-11-21,3.0314966422861796e-05
2019-11-22,1.6067778612519274e-05
2019-11-23,1.655732817274201e-05
2019-11-24,1.704687773296346e-05
2019-11-25,1.559698602625883e-05
2019-11-26,2.4906845173465287e-05
2019-11-27,3.44496149511586e-05
2019-11-28,3.507146000295438e-05
2019-11-29,1.6233594586266838e-05
2019-11-30,1.672670577870256e-05
2019-12-01,1.7219816971136025e-05
2019-12-02,4.5901191729117845e-05
2019-12-03,7.805213133907471e-05
2019-12-04,6.211085286850474e-05
2019-12-05,5.480068080558774e-05
2019-12-06,2.340916294445702e-06
2019-12-07,2.863489380142946e-06
2019-12-08,3.3860624658399392e-06
2019-12-09,2.1404551961366594e-05
2019-12-10,3.3424451275915274e-05
2019-12-11,4.2804492417147685e-05
2019-12-12,1.1059180227171203e-05
2019-12-13,1.989975346398583e-05
2019-12-14,2.051026729245256e-05
2019-12-15,2.1120781120920768e-05
2019-12-16,-5.0823327136346005e-06
2019-12-17,-3.2378419074115803e-06
2019-12-18,1.2170090829880008e-05
2019-12-19,3.236325708881775e-06
2019-12-20,1.7677472550935353e-05
2019-12-21,1.833720008854164e-05
2019-12-22,1.8996927626148305e-05
2019-12-23,4.593962574495278e-06
2019-12-24,-8.90732609908014e-07
2019-12-25,-2.909671454578755e-07
2019-12-26,-2.045484453447079e-05
2019-12-27,-2.0402271256983887e-05
2019-12-28,-1.986543526740024e-05
2019-12-29,-1.9328599277813776e-05
2019-12-30,-1.659254080762525e-05
2019-12-31,-7.44209743130879e-06
2020-01-01,-6.877344957650005e-06
2020-01-02,-3.077837013939259e-05
2020-01-03,-5.307773203606383e-05
2020-01-04,-5.264308581903526e-05
2020-01-05,-5.2208439602008006e-05
2020-01-06,-9.227542640865058e-05
2020-01-07,-0.00010556024947977339
2020-01-08,-9.897066170536387e-05
2020-01-09,-9.129421264016753e-05
2020-01-10,-0.00010753271084928902
2020-01-11,-0.00010718755333161809
2020-01-12,-0.00010684239581394556
2020-01-13,-9.464408899035288e-05
2020-01-14,-9.842100033022737e-05
2020-01-15,-0.00010687593299462886
2020-01-16,-0.00016085100447698836
2020-01-17,-0.0001555166748854603
2020-01-18,-0.00015523923854246263
2020-01-19,-0.0001549618021994649
2020-01-20,-0.0001546843658564664
2020-01-21,-0.00023226748201587527
2020-01-22,-0.00024336701291511297
2020-01-23,-0.00024436678903608575
2020-01-24,-0.00021602115313485467
2020-01-25,-0.00021591289853152486
2020-01-26,-0.0002158046439281975
2020-01-27,-0.00023925932686542174
2020-01-28,-0.0002522924308999195
2020-01-29,-0.0002426393262676687
2020-01-30,-0.00026860124184135915
2020-01-31,-0.0002654794486893035
2020-02-01,-0.00026552089278610697
2020-02-02,-0.0002655623368829095
2020-02-03,-0.00026011019665594926
2020-02-04,-0.00022648051281538931
2020-02-05,-0.00023301678380656805
2020-02-06,-0.0002056582687363986
2020-02-07,-0.00021599643703547322
2020-02-08,-0.0002159018911865333
2020-02-09,-0.00021580734533759407
2020-02-10,-0.00021132226820886368
2020-02-11,-0.00019033698586287835
2020-02-12,-0.00019148602626276642
2020-02-13,-0.00019227253127703588
2020-02-14,-0.0002136248416512059
