Date,UBS - C Accumulated Oriented Area
2021-05-30,0.003036701177922055
2021-05-31,0.0030397840532217857
2021-06-01,0.0029649153091394595
2021-06-02,0.0029980941451201826
2021-06-03,0.002957524680159797
2021-06-04,0.002988754371184466
2021-06-05,0.002991914008414145
2021-06-06,0.002995073645643824
2021-06-07,0.003000924198797561
2021-06-08,0.003017925922649104
2021-06-09,0.0031292595724036697
2021-06-10,0.0032009125629047274
2021-06-11,0.0031817653084359205
2021-06-12,0.003184653386319507
2021-06-13,0.0031875414642030934
2021-06-14,0.0032056368984301137
2021-06-15,0.0031817711711540843
2021-06-16,0.0033152672550208918
2021-06-17,0.003505030772920998
2021-06-18,0.003688215963911127
2021-06-19,0.003690235533812306
2021-06-20,0.0036922551037134824
2021-06-21,0.0036396958990247714
2021-06-22,0.0036960793262940965
2021-06-23,0.003646153107402333
2021-06-24,0.0035234095737592614
2021-06-25,0.0035102220707929625
2021-06-26,0.0035126093872269787
2021-06-27,0.0035149967036610004
2021-06-28,0.0035773095006782466
2021-06-29,0.0036681240077779346
2021-06-30,0.003696469671112014
2021-07-01,0.0036316935919239925
2021-07-02,0.0036803797432019125
2021-07-03,0.0036826199855030557
2021-07-04,0.0036848602278042016
2021-07-05,0.0036871004701053483
2021-07-06,0.0038627093566217826
2021-07-07,0.003921620258490218
2021-07-08,0.004141271316200948
2021-07-09,0.003941641991411121
2021-07-10,0.00394363031272359
2021-07-11,0.0039456186340360595
2021-07-12,0.0038557121795407164
2021-07-13,0.0039219650770785045
2021-07-14,0.003915017920908788
2021-07-15,0.003931226738644454
2021-07-16,0.004066301720904372
2021-07-17,0.004068131794852052
2021-07-18,0.004069961868799732
2021-07-19,0.00429102257332616
2021-07-20,0.003952370436431842
2021-07-21,0.0036885277307725523
2021-07-22,0.0037645522487148144
2021-07-23,0.0036807346830834177
2021-07-24,0.0036827515893859573
2021-07-25,0.003684768495688497
2021-07-26,0.0035494851043920183
2021-07-27,0.0035463114033367675
2021-07-28,0.003557253435391754
2021-07-29,0.0034078999805698977
2021-07-30,0.003451545246562278
2021-07-31,0.00345374331037176
2021-08-01,0.0034559413741812404
2021-08-02,0.0034327427889167977
2021-08-03,0.0033493039710775704
2021-08-04,0.0033982048046937675
2021-08-05,0.0033217013468108524
2021-08-06,0.0032381793367470416
2021-08-07,0.0032407465401552275
2021-08-08,0.003243313743563418
2021-08-09,0.0032510065905093314
2021-08-10,0.0031992906652913763
2021-08-11,0.0031195765551796355
2021-08-12,0.0031293729208924947
2021-08-13,0.003119707233569536
2021-08-14,0.0031224830393587525
2021-08-15,0.0031252588451479656
2021-08-16,0.00316425720459918
2021-08-17,0.0032604036085859744
2021-08-18,0.0033104517062208533
2021-08-19,0.00342276505299708
2021-08-20,0.0033997204580246466
2021-08-21,0.003402170844345458
2021-08-22,0.0034046212306662695
2021-08-23,0.0033475432859262034
2021-08-24,0.00328504066188106
2021-08-25,0.0031930550158599576
2021-08-26,0.0033291319264503114
2021-08-27,0.0032458860917266423
2021-08-28,0.0032486138367201507
2021-08-29,0.0032513415817136578
2021-08-30,0.00338118797688284
2021-08-31,0.0033830788264798467
2021-09-01,0.0033589842963425475
2021-09-02,0.0033619881436701693
2021-09-03,0.0033756782024561187
2021-09-04,0.0033782256140228407
2021-09-05,0.003380773025589563
2021-09-06,0.0033833204371562843
2021-09-07,0.0033975568663343614
2021-09-08,0.003472403162848907
2021-09-09,0.0034986577132077286
2021-09-10,0.003510128687204816
2021-09-11,0.003512506853945204
2021-09-12,0.00351488502068559
2021-09-13,0.003415703664568969
2021-09-14,0.0035246498235801957
2021-09-15,0.003430027734801132
2021-09-16,0.00342990533677437
2021-09-17,0.0035805086052306916
2021-09-18,0.0035828931107025072
2021-09-19,0.0035852776161743234
2021-09-20,0.004099543848886432
2021-09-21,0.004166756186157323
2021-09-22,0.003972674629523254
2021-09-23,0.003798901952703571
2021-09-24,0.003754535403196318
2021-09-25,0.0037569274794863636
2021-09-26,0.003759319555776409
2021-09-27,0.003603039800261892
2021-09-28,0.0037163050654627893
2021-09-29,0.003631650398881371
2021-09-30,0.0037670494122545462
2021-10-01,0.003740249115950515
2021-10-02,0.003742652359515108
2021-10-03,0.0037450556030797014
2021-10-04,0.0037300735806785057
2021-10-05,0.0035961198301745555
2021-10-06,0.0036254107475793525
2021-10-07,0.0034868367423013117
2021-10-08,0.0033629962959806584
2021-10-09,0.0033656381207757173
2021-10-10,0.0033682799455707754
2021-10-11,0.0034095092501414933
2021-10-12,0.0034157865390588562
2021-10-13,0.0034104487357857014
2021-10-14,0.0032322091093086435
2021-10-15,0.0031520973427964084
2021-10-16,0.0031548334890896222
2021-10-17,0.0031575696353828364
2021-10-18,0.0032028068232144513
2021-10-19,0.0031726393595084695
2021-10-20,0.003109954528487924
2021-10-21,0.0031380031511464633
2021-10-22,0.0030242295896928946
2021-10-23,0.003026955488487824
2021-10-24,0.003029681387282757
2021-10-25,0.0029980907561629744
2021-10-26,0.0029257904319510723
2021-10-27,0.0028998917315691364
2021-10-28,0.0028418759535382607
2021-10-29,0.002870330498778674
2021-10-30,0.0028729483449249247
2021-10-31,0.0028755661910711753
2021-11-01,0.0027346326103374814
2021-11-02,0.0027228107753454467
2021-11-03,0.002716577638430357
2021-11-04,0.002865385744010621
2021-11-05,0.002822020374596996
2021-11-06,0.0028244807543604342
2021-11-07,0.002826941134123873
2021-11-08,0.0028403145324061036
2021-11-09,0.0028242370626177463
2021-11-10,0.0029206851877173878
2021-11-11,0.0028977822133588425
2021-11-12,0.0029127567055269483
2021-11-13,0.002915366388014937
2021-11-14,0.0029179760705029256
2021-11-15,0.0029597000021895073
2021-11-16,0.0029740528663105424
2021-11-17,0.0028991413277452797
2021-11-18,0.002999045682643423
2021-11-19,0.003187878329824174
2021-11-20,0.003190138580749368
2021-11-21,0.003192398831674563
2021-11-22,0.0031884735844693074
2021-11-23,0.0031336939472792107
2021-11-24,0.003112117976154202
2021-11-25,0.003114492339263481
2021-11-26,0.0033788952744595955
2021-11-27,0.003381005953614545
2021-11-28,0.003383116632769493
2021-11-29,0.0033646613367037522
2021-11-30,0.0033546661317848813
2021-12-01,0.003415160161086366
2021-12-02,0.0032144384679789785
2021-12-03,0.003307905126252752
