Date,UBS - PNC Accumulated Oriented Area
2020-01-23,-0.00011541330356669091
2020-01-24,-5.651702950649123e-05
2020-01-25,-5.5304936752669626e-05
2020-01-26,-5.4092843998849755e-05
2020-01-27,4.855732625519936e-06
2020-01-28,-8.916790664696835e-06
2020-01-29,-3.992667413604172e-06
2020-01-30,-4.403347173671134e-05
2020-01-31,2.6501245131458598e-05
2020-02-01,2.7699707354152526e-05
2020-02-02,2.8898169576847214e-05
2020-02-03,2.1732692741219695e-05
2020-02-04,-1.6755777828358063e-05
2020-02-05,-0.00011357440576406403
2020-02-06,-0.00012234880042392727
2020-02-07,-0.00014187488105375524
2020-02-08,-0.00014061335525580529
2020-02-09,-0.0001393518294578549
2020-02-10,-0.0001645456578475239
2020-02-11,-0.0001938586267965728
2020-02-12,-0.00024129821907879762
2020-02-13,-0.00020359699700453645
2020-02-14,-0.00017321415475973252
2020-02-15,-0.00017195544236226217
2020-02-16,-0.00017069672996479179
2020-02-17,-0.0001694380175673226
2020-02-18,-0.00014395389219947415
2020-02-19,-0.00016444643559766225
2020-02-20,-0.00019672274736689315
2020-02-21,-0.00012533694076503318
2020-02-22,-0.00012405838593922147
2020-02-23,-0.00012277983111340818
2020-02-24,7.247278930520417e-05
2020-02-25,0.0002754030158709965
2020-02-26,0.00033705930751145414
2020-02-27,0.0005679901870875809
2020-02-28,0.0006949616308853845
2020-02-29,0.0006955809543816875
2020-03-01,0.0006962002778779904
2020-03-02,0.0005092361863431692
2020-03-03,0.0007287934903754784
2020-03-04,0.0006086301610680081
2020-03-05,0.0008847697432186627
2020-03-06,0.0011252403456996321
2020-03-07,0.001125444326119314
2020-03-08,0.0011256483065389964
2020-03-09,0.0016246222025899973
2020-03-10,0.0013271185009749403
2020-03-11,0.001508045047863725
2020-03-12,0.0015444812696023358
2020-03-13,0.0009578610821019698
2020-03-14,0.0009580430823518192
2020-03-15,0.0009582250826016672
2020-03-16,0.001694098028631377
2020-03-17,0.0015398778084355714
2020-03-18,0.0021168844037769505
2020-03-19,0.0019242014676886443
2020-03-20,0.0019880052784801002
2020-03-21,0.0019874930044657887
2020-03-22,0.0019869807304514803
2020-03-23,0.0026672193559309056
2020-03-24,0.0024926848196107896
2020-03-25,0.002480576769052561
2020-03-26,0.0020652817983407962
2020-03-27,0.0020625879344023526
2020-03-28,0.0020623538538122495
2020-03-29,0.0020621197732221402
2020-03-30,0.002065312238159948
2020-03-31,0.0022987275888961736
2020-04-01,0.002729278816374569
2020-04-02,0.0025226146634473876
2020-04-03,0.0028665961886384225
2020-04-04,0.0028656471032286633
2020-04-05,0.0028646980178189028
2020-04-06,0.0024996329321936863
2020-04-07,0.002536058618399402
2020-04-08,0.0022544590163171593
2020-04-09,0.0020676265768760005
2020-04-10,0.002067501447508317
2020-04-11,0.002067376318140637
2020-04-12,0.002067251188772953
2020-04-13,0.002208862966297882
2020-04-14,0.002357317550814561
2020-04-15,0.002590342078470479
2020-04-16,0.002620448718765529
2020-04-17,0.0020907324850696425
2020-04-18,0.002090503127034623
2020-04-19,0.002090273768999603
2020-04-20,0.002038498696385339
2020-04-21,0.002113268669328607
2020-04-22,0.002112056298337121
2020-04-23,0.0021144428397026236
2020-04-24,0.0020601558869327687
2020-04-25,0.00205994102276778
2020-04-26,0.0020597261586027967
2020-04-27,0.0018937613750801198
2020-04-28,0.0020113824692539082
2020-04-29,0.0019370949078374483
2020-04-30,0.0020649088347801177
2020-05-01,0.0021378714616254796
2020-05-02,0.0021375488651803397
2020-05-03,0.0021372262687352006
2020-05-04,0.0021370960611616367
2020-05-05,0.0020747326272851606
2020-05-06,0.0021302240784305602
2020-05-07,0.0020295628902407647
2020-05-08,0.0018693265990113689
2020-05-09,0.0018692045863114748
2020-05-10,0.0018690825736115853
2020-05-11,0.0019720590997034356
2020-05-12,0.0020445739718290626
2020-05-13,0.0021913342074842542
2020-05-14,0.002089724551967272
2020-05-15,0.002088963723344262
2020-05-16,0.0020886014421239198
2020-05-17,0.002088239160903578
2020-05-18,0.0019136752985099434
2020-05-19,0.002040752818433045
2020-05-20,0.0019362975520782883
2020-05-21,0.001980645146606867
2020-05-22,0.0018432399479339297
2020-05-23,0.0018431265618054713
2020-05-24,0.001843013175677013
2020-05-25,0.00184289978954856
