Date,UBS - IBN Accumulated Oriented Area
2019-11-05,-0.00027108937660391723
2019-11-06,-0.0003171035256883126
2019-11-07,-0.0003107656376746627
2019-11-08,-0.0003441750561319128
2019-11-09,-0.0003424295041250523
2019-11-10,-0.00034068395211819173
2019-11-11,-0.0003520224862832934
2019-11-12,-0.0003320855543142507
2019-11-13,-0.000282291615039379
2019-11-14,-0.00030642208143290435
2019-11-15,-0.0003389955239320398
2019-11-16,-0.00033703343314916496
2019-11-17,-0.00033507134236629026
2019-11-18,-0.00031335537387657057
2019-11-19,-0.00030154086688429616
2019-11-20,-0.0003023931469903839
2019-11-21,-0.0003300997220217767
2019-11-22,-0.00031884805085151787
2019-11-23,-0.0003169207604278499
2019-11-24,-0.0003149934700041837
2019-11-25,-0.00035090532600640816
2019-11-26,-0.0003572215985140464
2019-11-27,-0.000399566822773372
2019-11-28,-0.00039744617115840616
2019-11-29,-0.0003638996963656351
2019-11-30,-0.00036173564660437895
2019-12-01,-0.0003595715968431239
2019-12-02,-0.00034012059552710155
2019-12-03,-0.00029376189762444864
2019-12-04,-0.0004660790925782377
2019-12-05,-0.00047199245718300843
2019-12-06,-0.000464284231897003
2019-12-07,-0.00046176562954489575
2019-12-08,-0.00045924702719278977
2019-12-09,-0.00046621619544161947
2019-12-10,-0.0004776958733864581
2019-12-11,-0.00048020801385432695
2019-12-12,-0.0005558487855022515
2019-12-13,-0.000594611241214434
2019-12-14,-0.0005920633166465951
2019-12-15,-0.0005895153920787575
2019-12-16,-0.0006307431994160567
2019-12-17,-0.0006583556180258352
2019-12-18,-0.0006077241936737486
2019-12-19,-0.0006075552821341395
2019-12-20,-0.0006182228284358047
2019-12-21,-0.0006157313144687077
2019-12-22,-0.0006132398005016117
2019-12-23,-0.0005910751374307105
2019-12-24,-0.0005944589932498634
2019-12-25,-0.0005920427276840024
2019-12-26,-0.0005996179743718547
2019-12-27,-0.0006294912693667189
2019-12-28,-0.0006270649509820761
2019-12-29,-0.0006246386325974355
2019-12-30,-0.0006173740507806133
2019-12-31,-0.0006091036003729913
2020-01-01,-0.0006068122372455993
2020-01-02,-0.0006960047366306103
2020-01-03,-0.0006103023052935445
2020-01-04,-0.0006081726824511217
2020-01-05,-0.0006060430596086997
2020-01-06,-0.0005694789590463852
2020-01-07,-0.0005914502600330074
2020-01-08,-0.0006327523796722185
2020-01-09,-0.0006835106361116598
2020-01-10,-0.0006386393069428372
2020-01-11,-0.0006366436761700351
