Date,IBKR - HDB Accumulated Oriented Area
2019-09-24,0.0006129943404543786
2019-09-25,0.0006013016905562633
2019-09-26,0.0005616052147817115
2019-09-27,0.0005388127663122312
2019-09-28,0.0005393689886746001
2019-09-29,0.0005399252110369691
2019-09-30,0.0005585396084630116
2019-10-01,0.0006298916600679977
2019-10-02,0.0007001912889250343
2019-10-03,0.0006450612357419318
2019-10-04,0.0007676220876088426
2019-10-05,0.0007681818292123905
2019-10-06,0.0007687415708159413
2019-10-07,0.0007376001818362955
2019-10-08,0.000731794426322111
2019-10-09,0.0007094675726335166
2019-10-10,0.0007054747997474106
2019-10-11,0.0007192613418490833
2019-10-12,0.0007198767715126005
2019-10-13,0.0007204922011761151
2019-10-14,0.0007423593859590533
2019-10-15,0.0006702502874795596
2019-10-16,0.0006764407968914555
2019-10-17,0.0006608700979519645
2019-10-18,0.0007168420951160565
2019-10-19,0.0007176893207328336
2019-10-20,0.000718536546349611
2019-10-21,0.0006131748312139669
2019-10-22,0.0005845055818136642
2019-10-23,0.0005670146284984739
2019-10-24,0.0005214658011516507
2019-10-25,0.00048344656378677
2019-10-26,0.000484468753563075
2019-10-27,0.00048549094333938224
2019-10-28,0.0004498382867042304
2019-10-29,0.00040553027310574616
2019-10-30,0.00037544920263208947
2019-10-31,0.00040998423676876807
2019-11-01,0.0004079298685007378
2019-11-02,0.0004090462628435056
2019-11-03,0.0004101626571862695
2019-11-04,0.0004291840989631425
2019-11-05,0.00047206633008929557
2019-11-06,0.00042258419344941045
2019-11-07,0.0003889530381965583
2019-11-08,0.0003983131871089122
2019-11-09,0.0003994498998017758
2019-11-10,0.0004005866124946424
2019-11-11,0.00044250623284325396
2019-11-12,0.0004452820200806174
2019-11-13,0.00044069972362223246
2019-11-14,0.00040452769187754
2019-11-15,0.00041798422580654446
2019-11-16,0.0004191551575230739
2019-11-17,0.00042032608923960025
2019-11-18,0.0004771367002334034
2019-11-19,0.00044078031913181824
2019-11-20,0.000408949476151124
2019-11-21,0.00043047504816580195
2019-11-22,0.0003932673129653942
2019-11-23,0.0003943411708677772
2019-11-24,0.0003954150287701612
2019-11-25,0.00030365484198167865
2019-11-26,0.00030833452623766516
2019-11-27,0.0002673543845434361
2019-11-28,0.00026850524930039163
2019-11-29,0.0003785546233344041
2019-11-30,0.000379616744994762
2019-12-01,0.0003806788666551218
2019-12-02,0.00043180608956128896
2019-12-03,0.0004770313827775266
2019-12-04,0.0003942720735791572
2019-12-05,0.0003790769527170457
2019-12-06,0.000397727649609594
2019-12-07,0.0003988980052471594
2019-12-08,0.0004000683608847207
2019-12-09,0.00044506584394617555
2019-12-10,0.00039810707960715456
2019-12-11,0.0003742005337406001
2019-12-12,0.00030101092006645466
2019-12-13,0.0003585172855329295
2019-12-14,0.00035978581624157276
2019-12-15,0.000361054346950216
2019-12-16,0.000383264130285959
2019-12-17,0.0003086690542755266
2019-12-18,0.0002855913144830842
2019-12-19,0.0002987380437224062
2019-12-20,0.0002912438530372609
2019-12-21,0.00029256309893963787
2019-12-22,0.000293882344842018
2019-12-23,0.00034632794017969875
2019-12-24,0.00035951368892541877
2019-12-25,0.0003608151746258687
2019-12-26,0.0003620197994972838
2019-12-27,0.0003800022323151944
2019-12-28,0.00038123111758451813
2019-12-29,0.0003824600028538397
2019-12-30,0.0004184700213633698
2019-12-31,0.0003922403834993068
2020-01-01,0.0003935145180531417
2020-01-02,0.0003222838297983609
2020-01-03,0.00044036817356554015
2020-01-04,0.0004415079446087877
2020-01-05,0.00044264771565203915
2020-01-06,0.0004991394926046842
2020-01-07,0.0005212055755008133
2020-01-08,0.0004560073952077563
2020-01-09,0.00037649988376214287
2020-01-10,0.000412358543738798
2020-01-11,0.0004134277183871384
2020-01-12,0.0004144968930354755
2020-01-13,0.0003484968583026125
2020-01-14,0.000351538132071712
2020-01-15,0.0003889297155737387
2020-01-16,0.00038485110145693104
2020-01-17,0.0003691259586372
2020-01-18,0.0003701071667013168
2020-01-19,0.0003710883747654337
2020-01-20,0.00037206958282954883
2020-01-21,0.0004696245192143977
2020-01-22,0.0005130504218268547
2020-01-23,0.0005416262624363354
2020-01-24,0.0005267734577300119
2020-01-25,0.0005276701762453908
2020-01-26,0.0005285668947607729
2020-01-27,0.0006153703348325558
2020-01-28,0.0006200611373381642
2020-01-29,0.0005977407392508693
2020-01-30,0.0006190660869096525
2020-01-31,0.0006588826616711683
2020-02-01,0.0006596484385523508
2020-02-02,0.0006604142154335301
2020-02-03,0.0005947304198131076
2020-02-04,0.0005091149956504236
2020-02-05,0.0005315830706499979
2020-02-06,0.0005175331373740373
2020-02-07,0.0005503839408096242
2020-02-08,0.0005510536352268426
2020-02-09,0.0005517233296440613
2020-02-10,0.0005188158683593843
2020-02-11,0.0004662251775838577
2020-02-12,0.0004612621680884116
2020-02-13,0.0004622743931024852
2020-02-14,0.0004891142143810979
2020-02-15,0.000489637432023849
2020-02-16,0.0004901606496666011
2020-02-17,0.0004906838673093531
2020-02-18,0.0004962194537180744
2020-02-19,0.00048781144467144663
2020-02-20,0.0004820916574595173
2020-02-21,0.0005147391789052544
2020-02-22,0.0005151647905169514
2020-02-23,0.0005155904021286469
2020-02-24,0.000552353147455802
