Date,UBS - HDB Accumulated Oriented Area
2020-04-16,0.004298597800284071
2020-04-17,0.00412640802213852
2020-04-18,0.0041253903553685935
2020-04-19,0.004124372688598664
2020-04-20,0.0038814896828793634
2020-04-21,0.004106878219681367
2020-04-22,0.0037249428373255394
2020-04-23,0.0037597722500613386
2020-04-24,0.003986306811315307
2020-04-25,0.003985347327601951
2020-04-26,0.003984387843888602
2020-04-27,0.004070835126402501
2020-04-28,0.004312507153142001
2020-04-29,0.004028167700488431
2020-04-30,0.004139982699333258
2020-05-01,0.00415942424240686
2020-05-02,0.004158553278280172
2020-05-03,0.0041576823141534795
2020-05-04,0.004264702058522505
2020-05-05,0.003990478918234525
2020-05-06,0.003960871906540507
2020-05-07,0.0041426489654574185
2020-05-08,0.004178561882249499
2020-05-09,0.004177563696249327
2020-05-10,0.004176565510249154
2020-05-11,0.0044364588615027935
2020-05-12,0.003985886925165872
2020-05-13,0.004369100949892939
2020-05-14,0.004395223589397012
2020-05-15,0.004574031250392265
2020-05-16,0.004572515177078873
2020-05-17,0.004570999103765484
2020-05-18,0.005064310328876364
2020-05-19,0.0051062479186249
2020-05-20,0.004913080530383071
2020-05-21,0.004970836710608236
2020-05-22,0.004924106055222107
2020-05-23,0.004922490332317316
2020-05-24,0.004920874609412517
2020-05-25,0.004919258886507729
2020-05-26,0.005136628072185718
2020-05-27,0.004886003478820294
2020-05-28,0.004802025888593806
2020-05-29,0.004673561513844486
2020-05-30,0.0046725739535371695
2020-05-31,0.004671586393229853
2020-06-01,0.004646073691881339
2020-06-02,0.004478085159417878
2020-06-03,0.004461593303333432
2020-06-04,0.0045362668610864285
2020-06-05,0.0043272220029477206
2020-06-06,0.004326856748018523
2020-06-07,0.00432649149308933
2020-06-08,0.004568694469808
2020-06-09,0.004683909086289511
2020-06-10,0.0046306146222292064
2020-06-11,0.0046635383771779365
2020-06-12,0.004522294858482601
2020-06-13,0.0045213420550888495
2020-06-14,0.004520389251695093
2020-06-15,0.0046208963710281745
2020-06-16,0.004563955279112911
2020-06-17,0.004546648226572251
2020-06-18,0.004421910175096369
2020-06-19,0.004205392150209362
2020-06-20,0.004204805898595087
2020-06-21,0.004204219646980818
2020-06-22,0.0042831144825917844
2020-06-23,0.0042627186692877315
2020-06-24,0.004322388901300558
2020-06-25,0.004283359439995491
2020-06-26,0.004290515799598845
2020-06-27,0.004289895086523977
2020-06-28,0.004289274373449107
2020-06-29,0.0042778775829577995
2020-06-30,0.004344059504698537
2020-07-01,0.004042589100977006
2020-07-02,0.004116280145870151
2020-07-03,0.00411593751045349
2020-07-04,0.004115594875036833
2020-07-05,0.004115252239620177
2020-07-06,0.004074732536026672
2020-07-07,0.004112225887167535
2020-07-08,0.004078912717026732
2020-07-09,0.004044295718161601
2020-07-10,0.004114729397264347
2020-07-11,0.004114411480637976
2020-07-12,0.0041140935640116075
2020-07-13,0.004213872878017122
2020-07-14,0.004375969175524989
2020-07-15,0.004312511381991374
2020-07-16,0.004336771878440975
2020-07-17,0.004261062831896394
2020-07-18,0.004260564467080138
2020-07-19,0.004260066102263877
2020-07-20,0.003877851314896163
2020-07-21,0.0038689667250849835
2020-07-22,0.004025796801827588
2020-07-23,0.003990662406006571
2020-07-24,0.003983766894342166
2020-07-25,0.003983643353542829
2020-07-26,0.003983519812743492
2020-07-27,0.004149576958650691
2020-07-28,0.004107646128890964
2020-07-29,0.004067262199543719
2020-07-30,0.004127038674662142
2020-07-31,0.004191903386904571
2020-08-01,0.004191415341738699
2020-08-02,0.004190927296572833
2020-08-03,0.004339365566969042
2020-08-04,0.0043295562809623645
2020-08-05,0.004376991618931426
2020-08-06,0.00439356618367961
2020-08-07,0.004359343044548009
2020-08-08,0.004358715624494545
2020-08-09,0.0043580882044410765
2020-08-10,0.004417554750670726
2020-08-11,0.004347352126671431
2020-08-12,0.004386919148213337
2020-08-13,0.004359344350058549
2020-08-14,0.004380089449974466
2020-08-15,0.004379452496753141
2020-08-16,0.0043788155435318206
2020-08-17,0.004439310313641107
2020-08-18,0.0042423706905014
2020-08-19,0.004279688877568616
2020-08-20,0.004199599896493371
2020-08-21,0.004134447520170126
2020-08-22,0.004134109710265767
2020-08-23,0.004133771900361405
