Date,UBS - MBFJF Accumulated Oriented Area
2021-02-20,0.003633688937906613
2021-02-21,0.0036335412193533702
2021-02-22,0.003569316210438464
2021-02-23,0.0035655730458231533
2021-02-24,0.0035770560815398473
2021-02-25,0.003592351775004731
2021-02-26,0.0036380688240507542
2021-02-27,0.0036378460326367996
2021-02-28,0.003637623241222845
2021-03-01,0.0035920059450651343
2021-03-02,0.003612842632108191
2021-03-03,0.0036010440232095414
2021-03-04,0.0035764335314303524
2021-03-05,0.0036194775064594953
2021-03-06,0.0036193610434325264
2021-03-07,0.003619244580405557
2021-03-08,0.0036231486489760926
2021-03-09,0.003615750108539875
2021-03-10,0.0035956207229992333
2021-03-11,0.003563258455274231
2021-03-12,0.0035644442078122895
2021-03-13,0.003564550103457643
2021-03-14,0.003564655999102996
2021-03-15,0.003562033658189997
2021-03-16,0.0034588261553072947
2021-03-17,0.0034575034995257175
2021-03-18,0.0033839607431467066
2021-03-19,0.0033468311458932504
2021-03-20,0.0033476793866943607
2021-03-21,0.003348527627495471
2021-03-22,0.003343354233072735
2021-03-23,0.0033968153672946796
2021-03-24,0.003577206023329724
2021-03-25,0.003477042623077942
2021-03-26,0.0034780446268701383
2021-03-27,0.0034785193340028816
2021-03-28,0.0034789940411356244
2021-03-29,0.003491283301878475
2021-03-30,0.0034916083246707037
2021-03-31,0.003652957894402546
2021-04-01,0.00361845741805671
2021-04-02,0.003618590358303986
2021-04-03,0.0036187232985512613
2021-04-04,0.003618856238798537
2021-04-05,0.003624998675622755
2021-04-06,0.003633311773239274
2021-04-07,0.0036329760813936605
2021-04-08,0.0036318867744592207
2021-04-09,0.0036323140399181085
2021-04-10,0.0036323594946044324
2021-04-11,0.0036324049492907563
2021-04-12,0.003666019684990941
2021-04-13,0.003657188842693116
2021-04-14,0.00367118794636222
2021-04-15,0.0036551107718969375
2021-04-16,0.0036219358886300144
2021-04-17,0.00362197508086317
2021-04-18,0.0036220142730963257
2021-04-19,0.0036143442741844163
2021-04-20,0.003669000002166846
2021-04-21,0.0036320117487606694
2021-04-22,0.003627797291635984
2021-04-23,0.0036040165307372864
2021-04-24,0.003604080819772009
2021-04-25,0.0036041451088067327
2021-04-26,0.0036330035081869566
2021-04-27,0.0035941324678100276
2021-04-28,0.0035990760914034084
2021-04-29,0.003601861286012767
2021-04-30,0.003598777866716873
2021-05-01,0.0035988526205997244
2021-05-02,0.0035989273744825765
2021-05-03,0.0035333154277275274
2021-05-04,0.0035166293406640957
2021-05-05,0.003534022859926356
2021-05-06,0.00354825655178093
2021-05-07,0.0035549037287024047
2021-05-08,0.0035550493243104225
2021-05-09,0.0035551949199184403
2021-05-10,0.0034949146688680226
2021-05-11,0.0034879861370243365
2021-05-12,0.003484939095259771
2021-05-13,0.0034927913855177083
2021-05-14,0.0034984002632723805
2021-05-15,0.003498780562389844
2021-05-16,0.003499160861507306
2021-05-17,0.003501705162846981
2021-05-18,0.0034963808797726635
2021-05-19,0.003501137235545822
2021-05-20,0.0034116007572253786
2021-05-21,0.003409623783382285
2021-05-22,0.0034101952625206714
2021-05-23,0.003410766741659059
2021-05-24,0.003409074344575778
2021-05-25,0.0033743153744078044
2021-05-26,0.0033774632816987267
2021-05-27,0.003365955035239772
2021-05-28,0.003360989105291843
2021-05-29,0.0033615699583443015
2021-05-30,0.003362150811396759
2021-05-31,0.0033627316644492173
2021-06-01,0.003358683594416395
2021-06-02,0.003361530847404823
2021-06-03,0.0033586785767320444
2021-06-04,0.0033611076355595463
2021-06-05,0.003361664095490118
2021-06-06,0.0033622205554206903
2021-06-07,0.0034440599358571402
2021-06-08,0.003443690552747043
2021-06-09,0.0034164540775899763
2021-06-10,0.0034159092874170042
2021-06-11,0.0034168239823202987
2021-06-12,0.0034171397339334115
2021-06-13,0.003417455485546524
2021-06-14,0.0034179802527726936
2021-06-15,0.003473003675177001
2021-06-16,0.0034486270194497588
2021-06-17,0.003438163560999241
2021-06-18,0.003489843731295642
2021-06-19,0.00348997490023224
2021-06-20,0.003490106069168839
2021-06-21,0.003516346490864513
2021-06-22,0.0035024231463958028
2021-06-23,0.003431628718595167
2021-06-24,0.0034403689286143313
2021-06-25,0.0034416011920080604
2021-06-26,0.0034418341672664172
2021-06-27,0.0034420671425247737
2021-06-28,0.0034454923174352687
2021-06-29,0.003441819752476393
2021-06-30,0.003434165021005184
2021-07-01,0.003441839313837174
2021-07-02,0.003438683078385132
2021-07-03,0.0034389572554800536
2021-07-04,0.003439231432574976
2021-07-05,0.003439505609669897
2021-07-06,0.0033766025022980498
2021-07-07,0.0033728616684269774
2021-07-08,0.0033577083770454756
2021-07-09,0.0033701548522896063
2021-07-10,0.0033706692475113705
2021-07-11,0.0033711836427331343
2021-07-12,0.003566913809638474
2021-07-13,0.003561628114338168
2021-07-14,0.0035660274652140017
2021-07-15,0.0035596327901537446
2021-07-16,0.00349420552263524
2021-07-17,0.0034944501650599077
2021-07-18,0.0034946948074845753
2021-07-19,0.003619432030557172
2021-07-20,0.0037259698248483008
2021-07-21,0.0038001222923906078
2021-07-22,0.00378456594892621
2021-07-23,0.0037569227580186524
2021-07-24,0.0037567449596548706
2021-07-25,0.0037565671612910883
2021-07-26,0.003787440958110219
2021-07-27,0.0037658666390085315
2021-07-28,0.003762721995531333
2021-07-29,0.0037959900047674715
2021-07-30,0.0037918329136364683
2021-07-31,0.0037915928181216406
2021-08-01,0.0037913527226068125
2021-08-02,0.003797013776230396
2021-08-03,0.003812429772778767
2021-08-04,0.0038023359432863236
2021-08-05,0.00381580473168494
2021-08-06,0.003878792618921851
2021-08-07,0.0038782310005311673
2021-08-08,0.003877669382140482
2021-08-09,0.003808623511287854
2021-08-10,0.003862151820913605
2021-08-11,0.003878113039151276
2021-08-12,0.003876426526184118
2021-08-13,0.0038829527172844353
2021-08-14,0.003882426924020185
2021-08-15,0.0038819011307559357
2021-08-16,0.003815508778460746
2021-08-17,0.0038019675809067414
2021-08-18,0.0037957577289291747
2021-08-19,0.0037819563909820353
2021-08-20,0.0037846730416755694
2021-08-21,0.003784615975493938
2021-08-22,0.0037845589093123072
2021-08-23,0.00379214786675622
2021-08-24,0.0037989957423034543
2021-08-25,0.003810617978443815
2021-08-26,0.003791721408344782
