Date,UBS - WFC Accumulated Oriented Area
2021-10-06,0.00379287075396512
2021-10-07,0.003799497296402713
2021-10-08,0.0037955120396948915
2021-10-09,0.0037955030626446134
2021-10-10,0.0037954940855943354
2021-10-11,0.003813379836575921
2021-10-12,0.0038308676441019193
2021-10-13,0.003847524426942711
2021-10-14,0.003880092113997193
2021-10-15,0.0038231070832123208
2021-10-16,0.0038231191228770846
2021-10-17,0.003823131162541849
2021-10-18,0.0038040040756813867
2021-10-19,0.0037864010269617115
2021-10-20,0.0037865299615572894
2021-10-21,0.003784163676505038
2021-10-22,0.0037737130150473494
2021-10-23,0.0037739099332878383
2021-10-24,0.003774106851528327
2021-10-25,0.0037723518467628185
2021-10-26,0.003767829318970945
2021-10-27,0.003771985636854076
2021-10-28,0.003757611098200456
2021-10-29,0.003760345846381892
2021-10-30,0.0037605743023713845
2021-10-31,0.0037608027583608773
2021-11-01,0.0037455909223554585
2021-11-02,0.0037457733791706996
2021-11-03,0.0037428573893623306
2021-11-04,0.003762324675638482
2021-11-05,0.0037608773644127675
2021-11-06,0.0037610425343747186
2021-11-07,0.00376120770433667
2021-11-08,0.003759811060235467
2021-11-09,0.003765701947086753
2021-11-10,0.003766496716504897
2021-11-11,0.0037633660488272515
2021-11-12,0.003761027352839523
2021-11-13,0.0037612403912143672
2021-11-14,0.003761453429589212
2021-11-15,0.003762939556638166
2021-11-16,0.003771085034044634
2021-11-17,0.0037723647702126023
2021-11-18,0.003775963214665571
2021-11-19,0.003796609412869572
2021-11-20,0.003796655046039857
2021-11-21,0.0037967006792101418
2021-11-22,0.0037691512347354443
2021-11-23,0.003748129186259508
2021-11-24,0.003746587713146233
2021-11-25,0.003746838027620832
2021-11-26,0.003813680821015006
2021-11-27,0.003813701774645179
2021-11-28,0.0038137227282753513
2021-11-29,0.0037961303164357075
2021-11-30,0.0038279332510090295
2021-12-01,0.0038396926446994627
2021-12-02,0.003809660506466194
2021-12-03,0.003829659977313762
2021-12-04,0.003829612385368404
2021-12-05,0.003829564793423046
2021-12-06,0.0038112182288178413
2021-12-07,0.003786919539869832
2021-12-08,0.0037978811083136683
2021-12-09,0.003795267284702209
2021-12-10,0.003788275977564014
2021-12-11,0.0037884300617953637
2021-12-12,0.003788584146026713
2021-12-13,0.003815824299263188
2021-12-14,0.0038102376304680564
2021-12-15,0.003809865861349658
2021-12-16,0.0037832609880557515
2021-12-17,0.003829779238893223
2021-12-18,0.0038297512035108438
2021-12-19,0.003829723168128465
2021-12-20,0.0038529680843932246
2021-12-21,0.003834069810139387
2021-12-22,0.003830667724655194
2021-12-23,0.003825886337607838
2021-12-24,0.003825885627808662
2021-12-25,0.003825884918009486
2021-12-26,0.00382588420821031
2021-12-27,0.0038197450089258295
2021-12-28,0.003824831132121588
2021-12-29,0.0038241638331738374
2021-12-30,0.0038291048637687777
2021-12-31,0.0038307247984595235
2022-01-01,0.0038306900451608103
2022-01-02,0.003830655291862097
2022-01-03,0.003785499725145078
2022-01-04,0.0037464085464554847
2022-01-05,0.0037609338587572473
2022-01-06,0.0037218643413400162
2022-01-07,0.0037004461831401593
2022-01-08,0.003700937290845098
2022-01-09,0.0037014283985500373
2022-01-10,0.0037086091612935257
2022-01-11,0.0036994686502295013
2022-01-12,0.0036837971037208535
2022-01-13,0.0036838982538758445
2022-01-14,0.0036831494260604887
2022-01-15,0.003683879891530392
2022-01-16,0.003684610357000296
2022-01-17,0.0036853408224702
2022-01-18,0.003706090617233382
2022-01-19,0.0037260275167642
2022-01-20,0.003729129345828529
2022-01-21,0.0037429183069169927
2022-01-22,0.0037433304121076796
2022-01-23,0.003743742517298367
2022-01-24,0.0037763795356753173
2022-01-25,0.0037666134184022263
2022-01-26,0.0037515709527524786
2022-01-27,0.0037776120987163125
2022-01-28,0.00377243704890914
2022-01-29,0.003772901008954786
2022-01-30,0.003773364969000432
2022-01-31,0.003763970997678477
2022-02-01,0.00365535288701282
2022-02-02,0.0036495862083317497
2022-02-03,0.0036547945033818053
2022-02-04,0.0036611367772714405
2022-02-05,0.0036617264152179196
2022-02-06,0.0036623160531643983
2022-02-07,0.0036552664671559514
2022-02-08,0.003633059938475245
2022-02-09,0.003613414534240955
2022-02-10,0.003625497610057731
2022-02-11,0.003661787169216048
2022-02-12,0.0036625162715202063
2022-02-13,0.003663245373824364
2022-02-14,0.003670704698021152
2022-02-15,0.0036643352681862465
2022-02-16,0.0036831784651843763
2022-02-17,0.0036977015859450454
2022-02-18,0.003698158971882754
2022-02-19,0.0036987006499507634
2022-02-20,0.0036992423280187733
2022-02-21,0.003699784006086783
2022-02-22,0.003748752686403896
2022-02-23,0.003771099859794114
2022-02-24,0.0038498336812401632
2022-02-25,0.003783382603359265
2022-02-26,0.0037838323079797767
2022-02-27,0.0037842820126002875
2022-02-28,0.0038338527954177425
2022-03-01,0.003930046032173496
2022-03-02,0.0038756170158541913
2022-03-03,0.003920699335106123
2022-03-04,0.00403554433122917
2022-03-05,0.004035621740868194
2022-03-06,0.004035699150507215
2022-03-07,0.004184093025255934
2022-03-08,0.004188474436411549
2022-03-09,0.004088310863501764
2022-03-10,0.004094782200313083
2022-03-11,0.004115829603688294
2022-03-12,0.00411586358635786
2022-03-13,0.0041158975690274244
2022-03-14,0.004063522378618887
2022-03-15,0.004053857304060763
2022-03-16,0.003991689549531734
2022-03-17,0.003986654727504747
2022-03-18,0.003979170615450867
2022-03-19,0.003979411341062337
2022-03-20,0.003979652066673807
2022-03-21,0.003979855826545061
2022-03-22,0.0039397969473049105
2022-03-23,0.003972778737812447
2022-03-24,0.003965765825013491
2022-03-25,0.003947977379569531
2022-03-26,0.0039482961698268605
2022-03-27,0.00394861496008419
2022-03-28,0.0039597953297771885
2022-03-29,0.00394680106010543
2022-03-30,0.003958905733833213
2022-03-31,0.003968325024875531
2022-04-01,0.003967565263514483
2022-04-02,0.003967559026973872
2022-04-03,0.003967552790433259
2022-04-04,0.003969042320289106
2022-04-05,0.003964835377225917
