Date,UBS - JPM Accumulated Oriented Area
2021-02-15,0.0017579920321626188
2021-02-16,0.0016111484227669315
2021-02-17,0.001671022982974173
2021-02-18,0.0017341432211767295
2021-02-19,0.0016663819037560118
2021-02-20,0.0016684156098207834
2021-02-21,0.0016704493158855552
2021-02-22,0.0015977279596258165
2021-02-23,0.0016236405931593807
2021-02-24,0.0014942744468462814
2021-02-25,0.0015629835777430884
2021-02-26,0.0016868335436427025
2021-02-27,0.0016888289466248398
2021-02-28,0.0016908243496069758
2021-03-01,0.0015755261281625212
2021-03-02,0.0015319499793004082
2021-03-03,0.0015664748894955605
2021-03-04,0.0017141619161684235
2021-03-05,0.0016426285737752666
2021-03-06,0.0016447702457729944
2021-03-07,0.0016469119177707256
2021-03-08,0.0016129154254593014
2021-03-09,0.0016545503470856923
2021-03-10,0.0015995461491316151
2021-03-11,0.0016866864712039677
2021-03-12,0.0016606929376586177
2021-03-13,0.0016630954757873152
2021-03-14,0.0016654980139160127
2021-03-15,0.0016942069885540966
2021-03-16,0.0016826299782864561
2021-03-17,0.0015901585000455696
2021-03-18,0.0014798010042820962
2021-03-19,0.0014989925359887208
2021-03-20,0.001501244226062236
2021-03-21,0.0015034959161357513
2021-03-22,0.0015179258501197234
2021-03-23,0.0016467839620529342
2021-03-24,0.001616277274206613
2021-03-25,0.001517110547622995
2021-03-26,0.0015044083304763085
2021-03-27,0.0015066560542052153
2021-03-28,0.0015089037779341234
2021-03-29,0.001677102083266675
2021-03-30,0.0016552361672388064
2021-03-31,0.0017064203548391153
2021-04-01,0.001592829364537305
2021-04-02,0.0015950524641386759
2021-04-03,0.0015972755637400466
2021-04-04,0.0015994986633414174
2021-04-05,0.0015529854119291097
2021-04-06,0.0014976953823196625
2021-04-07,0.0014846252794057755
2021-04-08,0.0014947627308674787
2021-04-09,0.0014847446831296638
2021-04-10,0.0014870142404930686
2021-04-11,0.0014892837978564756
2021-04-12,0.0015037969093162425
2021-04-13,0.0016933395604933636
2021-04-14,0.001682938942592842
2021-04-15,0.0016539031608192466
2021-04-16,0.0015699596910508705
2021-04-17,0.001572117481047597
2021-04-18,0.0015742752710443246
2021-04-19,0.0016337851079938535
2021-04-20,0.0017831171227395497
2021-04-21,0.0017998218830701626
2021-04-22,0.0019263700082450329
2021-04-23,0.0018448224692151794
2021-04-24,0.001846988965485231
2021-04-25,0.0018491554617552826
2021-04-26,0.0018311526636486254
2021-04-27,0.0018706181271722652
2021-04-28,0.0017586741406236488
2021-04-29,0.001709634679252654
2021-04-30,0.001827558968986068
2021-05-01,0.0018298915042226085
2021-05-02,0.0018322240394591492
2021-05-03,0.0018191695310007872
2021-05-04,0.0019045651749773592
2021-05-05,0.001752387162648113
2021-05-06,0.0016074795892224902
2021-05-07,0.0015534986940722965
2021-05-08,0.0015560491149833318
2021-05-09,0.001558599535894367
2021-05-10,0.0016951507239330813
2021-05-11,0.0018535779471761462
2021-05-12,0.0019275308457360272
2021-05-13,0.0017521529655119058
2021-05-14,0.0016362294252107177
2021-05-15,0.001638951036919085
2021-05-16,0.0016416726486274524
2021-05-17,0.0016012392913854426
2021-05-18,0.0016533618194478808
2021-05-19,0.0016764765545245553
2021-05-20,0.001600492219540923
2021-05-21,0.001538529094249802
2021-05-22,0.0015411249141784118
2021-05-23,0.001543720734107019
2021-05-24,0.0014965680263365267
2021-05-25,0.001513674232883941
2021-05-26,0.0015377163984601383
2021-05-27,0.001406705040571302
2021-05-28,0.0013595148841570343
2021-05-29,0.0013620843519403082
2021-05-30,0.0013646538197235774
2021-05-31,0.0013672232875068502
2021-06-01,0.0013115535125680453
2021-06-02,0.0013362343800905434
2021-06-03,0.001304815392871253
2021-06-04,0.0013238267406332
2021-06-05,0.0013264669103943492
2021-06-06,0.0013291070801554987
2021-06-07,0.0013379727746307103
2021-06-08,0.0013532076639135384
2021-06-09,0.0014382846376880536
2021-06-10,0.0014969764472265244
2021-06-11,0.0014803309964958654
2021-06-12,0.0014827618514701177
2021-06-13,0.00148519270644437
2021-06-14,0.0015084532894662798
2021-06-15,0.0015003956575175507
2021-06-16,0.001549293021330963
2021-06-17,0.0016947958807402319
2021-06-18,0.0018519600184469368
2021-06-19,0.0018539892294611507
