Date,MS - IBKR Accumulated Oriented Area
2019-09-07,-1.4051839291164523e-05
2019-09-08,-1.4864886548800164e-05
2019-09-09,3.0582000640147325e-05
2019-09-10,3.9191224187901104e-05
2019-09-11,2.7939194338169327e-05
2019-09-12,3.310621942116234e-05
2019-09-13,5.469042340848947e-05
2019-09-14,5.4013886721536054e-05
2019-09-15,5.3337350034582965e-05
2019-09-16,3.494065842000718e-05
2019-09-17,2.077255960412428e-05
2019-09-18,2.9674228357460153e-05
2019-09-19,1.7010186832452017e-05
2019-09-20,-1.9835718046160646e-06
2019-09-21,-2.458795799858664e-06
2019-09-22,-2.934019795101738e-06
2019-09-23,-4.5795272852230235e-06
2019-09-24,-2.421989805964116e-06
2019-09-25,-1.8984424271433964e-05
2019-09-26,-2.8429506227177766e-05
2019-09-27,-7.114402945170805e-05
2019-09-28,-7.135698741124344e-05
2019-09-29,-7.156994537077929e-05
2019-09-30,-8.59370659363318e-05
2019-10-01,2.3139620599812506e-05
2019-10-02,1.2105362387117046e-05
2019-10-03,3.1937234088463555e-05
2019-10-04,3.461930593723182e-05
2019-10-05,3.372098426447745e-05
2019-10-06,3.2822662591724114e-05
2019-10-07,2.5614265292181834e-05
2019-10-08,-3.0279470494623485e-05
2019-10-09,0.00011705047896056694
2019-10-10,7.641100145193372e-05
2019-10-11,0.00010649917782164426
2019-10-12,0.0001055382427275054
2019-10-13,0.00010457730763336655
2019-10-14,0.00015489271648524947
2019-10-15,0.0001579797742182297
2019-10-16,0.00021804015701249287
2019-10-17,0.0002732811331480219
2019-10-18,0.00030961674967347816
2019-10-19,0.00030799970620652944
2019-10-20,0.0003063826627395814
2019-10-21,0.0003991435767724781
2019-10-22,0.00041186944490444275
2019-10-23,0.00045791475124763676
2019-10-24,0.00044000364117855394
2019-10-25,0.00046655392683749713
2019-10-26,0.00046494277668936536
2019-10-27,0.0004633316265412334
2019-10-28,0.0004773846281001206
2019-10-29,0.00047182638445931687
2019-10-30,0.0004371624231825987
2019-10-31,0.0004339888366581133
2019-11-01,0.0005144537473371955
2019-11-02,0.0005128349040090246
2019-11-03,0.0005112160606808536
2019-11-04,0.0006027002503608394
2019-11-05,0.0005958620111061431
2019-11-06,0.0005821365043812778
2019-11-07,0.0005859693935504073
2019-11-08,0.0006137283129183575
2019-11-09,0.0006119469060245822
2019-11-10,0.0006101654991308068
2019-11-11,0.0006033618678984104
2019-11-12,0.00059656170765082
2019-11-13,0.0005555131803472377
2019-11-14,0.0005670788072428382
2019-11-15,0.0005888795413827293
2019-11-16,0.0005870354684083339
2019-11-17,0.0005851913954339372
2019-11-18,0.0005861929567445474
2019-11-19,0.0006032039494187384
2019-11-20,0.0005879545677984984
2019-11-21,0.0005712984371892375
2019-11-22,0.000591979700595964
2019-11-23,0.0005903498653170924
2019-11-24,0.0005887200300382196
2019-11-25,0.0006249647965696924
2019-11-26,0.0005965281865661185
2019-11-27,0.0006132092498395053
2019-11-28,0.0006117420533687876
2019-11-29,0.0005945423122868717
2019-11-30,0.0005929702223658533
2019-12-01,0.0005913981324448361
2019-12-02,0.0005692543336342297
2019-12-03,0.0005088772302345383
2019-12-04,0.0005467007085941218
2019-12-05,0.0005572673915351436
2019-12-06,0.0005984883333304984
2019-12-07,0.0005966915527018511
2019-12-08,0.0005948947720732039
2019-12-09,0.0005809663706427662
2019-12-10,0.0005833602990497242
2019-12-11,0.000567275979779331
2019-12-12,0.0006387692757383928
2019-12-13,0.0006073824706537455
2019-12-14,0.0006054929196865557
2019-12-15,0.0006036033687193658
2019-12-16,0.0006304567789969435
2019-12-17,0.0006406686330424943
2019-12-18,0.0006246473675466319
2019-12-19,0.0006360268796545529
2019-12-20,0.0006239777459900685
2019-12-21,0.0006221233739669394
2019-12-22,0.0006202690019438102
2019-12-23,0.0006192183824065581
2019-12-24,0.000614759578262666
2019-12-25,0.0006128062736000098
2019-12-26,0.0006381413997989852
2019-12-27,0.0006344675109686435
2019-12-28,0.0006325540471346229
2019-12-29,0.0006306405833006023
2019-12-30,0.000618814803304294
2019-12-31,0.0006269983028524529
2020-01-01,0.0006249964259102469
2020-01-02,0.0006840360013287779
2020-01-03,0.0006306082376677986
2020-01-04,0.0006286989306680355
2020-01-05,0.0006267896236682724
2020-01-06,0.0006148101469567604
2020-01-07,0.0006065288586999749
2020-01-08,0.0006448457916267767
2020-01-09,0.0006722356630836798
2020-01-10,0.0006776281355614904
2020-01-11,0.0006758476993097627
2020-01-12,0.0006740672630580353
2020-01-13,0.0007056444951309667
2020-01-14,0.000707842745454186
2020-01-15,0.0007052489413733582
2020-01-16,0.0008910052982915813
2020-01-17,0.0009439780953758908
2020-01-18,0.0009420498608451107
2020-01-19,0.0009401216263143296
2020-01-20,0.000938193391783549
2020-01-21,0.0008908168173475826
2020-01-22,0.0008491385823950865
2020-01-23,0.0008098110157169544
2020-01-24,0.0007440929522657306
2020-01-25,0.0007419891574787377
2020-01-26,0.0007398853626917463
2020-01-27,0.0006451941766713946
2020-01-28,0.0006976935124212058
2020-01-29,0.0006889770432678408
2020-01-30,0.0007020721952463949
2020-01-31,0.0005984702978846735
2020-02-01,0.0005964392038957381
2020-02-02,0.0005944081099068041
2020-02-03,0.0006298082309747436
2020-02-04,0.000696942847154472
2020-02-05,0.0007107425859690302
2020-02-06,0.000703542725889375
2020-02-07,0.000703091281895519
2020-02-08,0.000701590561384426
2020-02-09,0.0007000898408733328
2020-02-10,0.0007361066180689514
2020-02-11,0.0007758101283838933
2020-02-12,0.0007827186215755471
2020-02-13,0.0007774856064904095
2020-02-14,0.0007721875176215313
2020-02-15,0.0007711174831492469
2020-02-16,0.000770047448676963
2020-02-17,0.0007689774142046789
2020-02-18,0.0007553190044651106
2020-02-19,0.0007890372638270772
2020-02-20,0.0007571011395555975
2020-02-21,0.0007207434276330704
2020-02-22,0.0007199233309066235
2020-02-23,0.0007191032341801767
2020-02-24,0.0006467189830034314
2020-02-25,0.0006125845494172443
2020-02-26,0.000543703414613503
2020-02-27,0.0005404282894864157
2020-02-28,0.0005405450586083329
2020-02-29,0.0005397841059492225
2020-03-01,0.0005390231532901121
2020-03-02,0.0004966802453672482
2020-03-03,0.0005000547918895186
2020-03-04,0.0005838776395867293
2020-03-05,0.0005267151254246809
2020-03-06,0.0004845718080361385
2020-03-07,0.0004836327757032008
2020-03-08,0.0004826937433702618
2020-03-09,0.0004003073746698723
2020-03-10,0.00035812390317899406
2020-03-11,0.00027782628964914544
2020-03-12,-4.21449870265971e-05
2020-03-13,0.0004411657874317093
2020-03-14,0.0004400310005923282
2020-03-15,0.00043889621375294696
2020-03-16,0.00016074223700147906
2020-03-17,8.439159383578996e-05
2020-03-18,0.00026807611623915525
2020-03-19,-0.00012477528507217315
2020-03-20,0.0001392441065807533
2020-03-21,0.0001379099727492097
2020-03-22,0.00013657583891766147
2020-03-23,0.00026471087866944084
2020-03-24,0.000340216989255801
2020-03-25,7.018333769110532e-05
2020-03-26,0.00033648088811014283
2020-03-27,0.0003171764430540105
2020-03-28,0.000315960320647517
2020-03-29,0.0003147441982410209
2020-03-30,0.0003293555926715804
2020-03-31,8.752362717861878e-05
2020-04-01,-0.00025401788965062817
