Date,UBS - BNPQY Accumulated Oriented Area
2020-02-24,-6.864283365104067e-05
2020-02-25,0.00012917130270887107
2020-02-26,0.00017741474215200395
2020-02-27,0.0003796270280193258
2020-02-28,0.0004486238722905968
2020-02-29,0.00044941631666641445
2020-03-01,0.00045020876104223206
2020-03-02,0.00035407346904136727
2020-03-03,0.0005432441359748167
2020-03-04,0.00048364961401917806
2020-03-05,0.0007296017417782192
2020-03-06,0.0009171241742494447
2020-03-07,0.0009174384526317782
2020-03-08,0.0009177527310141119
2020-03-09,0.0013664371312225071
2020-03-10,0.001099935451766771
2020-03-11,0.0011930573342999412
2020-03-12,0.0016097417761685546
2020-03-13,0.0013740423846006402
2020-03-14,0.0013739849588687513
2020-03-15,0.0013739275331368613
2020-03-16,0.0024146426229190035
2020-03-17,0.0023663893203623226
2020-03-18,0.003066809411413428
2020-03-19,0.0035239018803218
2020-03-20,0.0030575184113215406
2020-03-21,0.0030562693998935717
2020-03-22,0.003055020388465608
2020-03-23,0.003355890276469424
2020-03-24,0.003573360516792176
2020-03-25,0.0030164688057096084
2020-03-26,0.003049615882720606
2020-03-27,0.0030070673797978733
2020-03-28,0.0030062535086587787
2020-03-29,0.0030054396375196863
2020-03-30,0.0033738566067974896
2020-03-31,0.003594824981004436
2020-04-01,0.0038437265199263303
2020-04-02,0.0038505754604132095
2020-04-03,0.004139813410389232
2020-04-04,0.0041378932788076845
2020-04-05,0.004135973147226135
2020-04-06,0.0044401160743343035
2020-04-07,0.0042664041226366505
2020-04-08,0.004147994719749255
2020-04-09,0.004067153643327404
2020-04-10,0.00406578839120191
2020-04-11,0.0040644231390764155
2020-04-12,0.004063057886950921
2020-04-13,0.003969672884919137
2020-04-14,0.00415817214750175
2020-04-15,0.004272703932723554
2020-04-16,0.0042974397523545815
2020-04-17,0.004508693297695744
2020-04-18,0.00450680633355519
2020-04-19,0.004504919369414638
2020-04-20,0.004604149132983076
2020-04-21,0.004344247917966315
2020-04-22,0.004130305798402554
2020-04-23,0.0038658476912634483
2020-04-24,0.004022121363196681
2020-04-25,0.004020499341504652
2020-04-26,0.004018877319812619
2020-04-27,0.004006827028113056
2020-04-28,0.004083235335493769
2020-04-29,0.0042340857588864505
2020-04-30,0.004329266583228281
2020-05-01,0.004280919250053886
2020-05-02,0.004279312964908298
2020-05-03,0.00427770667976271
2020-05-04,0.004198161435441487
2020-05-05,0.003834483821458297
2020-05-06,0.0038035087417677667
2020-05-07,0.003804100272909303
2020-05-08,0.0037812258901184356
2020-05-09,0.003779894092385537
2020-05-10,0.003778562294652639
2020-05-11,0.0037656598761929127
2020-05-12,0.003779577913284719
2020-05-13,0.0039970485283796296
2020-05-14,0.003917688342177202
2020-05-15,0.0038217286272765978
2020-05-16,0.0038201186246307087
2020-05-17,0.0038185086219848195
2020-05-18,0.003727903362554949
2020-05-19,0.0038641114793194513
2020-05-20,0.0038076609761052097
2020-05-21,0.0038524320523562272
2020-05-22,0.0036879454611582598
2020-05-23,0.0036866273550444405
2020-05-24,0.0036853092489306204
2020-05-25,0.003683991142816801
2020-05-26,0.0035059845406638533
2020-05-27,0.003208067969643767
2020-05-28,0.00323301697760596
2020-05-29,0.003355646719922315
2020-05-30,0.0033548721310793176
2020-05-31,0.0033540975422363226
2020-06-01,0.003198375834310877
2020-06-02,0.0031825601250488815
2020-06-03,0.003054693081764549
2020-06-04,0.0030104767259812896
2020-06-05,0.0027926716610594104
2020-06-06,0.0027927442672528663
2020-06-07,0.0027928168734463227
2020-06-08,0.0027497664628430276
2020-06-09,0.002828476569593922
2020-06-10,0.0029223254799195736
2020-06-11,0.0031125730397222164
2020-06-12,0.0029978613008745146
2020-06-13,0.002997603272237106
2020-06-14,0.0029973452435996966
2020-06-15,0.003038311576492607
2020-06-16,0.002986215164266731
2020-06-17,0.003012678594003094
2020-06-18,0.0030364356721415417
2020-06-19,0.003074244300424826
2020-06-20,0.0030738893035746487
2020-06-21,0.0030735343067244693
2020-06-22,0.0030540848326577404
2020-06-23,0.0029890629798494366
2020-06-24,0.00313610608105132
2020-06-25,0.003094921664206488
2020-06-26,0.003201204763313872
2020-06-27,0.00320072553992958
2020-06-28,0.003200246316545286
2020-06-29,0.003141348861246101
2020-06-30,0.003166408371306293
2020-07-01,0.0032161943621735216
2020-07-02,0.0031086934476474604
2020-07-03,0.0031083775217803913
2020-07-04,0.003108061595913321
2020-07-05,0.0031077456700462506
2020-07-06,0.002995118271204482
2020-07-07,0.003034956088767962
2020-07-08,0.003054536483596313
2020-07-09,0.00315504988483544
2020-07-10,0.003039439791697327
2020-07-11,0.0030392416955141678
2020-07-12,0.003039043599331006
2020-07-13,0.002981341927936074
2020-07-14,0.0029994562978368135
2020-07-15,0.002877768249874756
2020-07-16,0.002928952546485241
2020-07-17,0.002950619066995791
2020-07-18,0.002950559924804735
2020-07-19,0.002950500782613679
2020-07-20,0.0029274370334174053
2020-07-21,0.0029257916101492684
2020-07-22,0.002937190406871522
2020-07-23,0.002939793246939629
