Date,UBS - HSBC Accumulated Oriented Area
2020-06-04,0.0028549809309218336
2020-06-05,0.002674353409944082
2020-06-06,0.002672021112075167
2020-06-07,0.002669688814206252
2020-06-08,0.0027789126963433473
2020-06-09,0.0027911012018525406
2020-06-10,0.0027480477338167855
2020-06-11,0.0026071038230725515
2020-06-12,0.0026296175778026806
2020-06-13,0.002626685527658973
2020-06-14,0.0026237534775152673
2020-06-15,0.0026882038295140925
2020-06-16,0.0027204255877327863
2020-06-17,0.0027364442799672453
2020-06-18,0.0027848663534123883
2020-06-19,0.0025552698263250698
2020-06-20,0.002552349944070513
2020-06-21,0.0025494300618159544
2020-06-22,0.0027655645738226074
2020-06-23,0.0027966278565177746
2020-06-24,0.0027299765003910154
2020-06-25,0.002890125419596352
2020-06-26,0.0029049579712680843
2020-06-27,0.002901918056784093
2020-06-28,0.0028988781423001046
2020-06-29,0.002951056424071943
2020-06-30,0.0030886310949785204
2020-07-01,0.0030294716852232017
2020-07-02,0.00298739639919654
2020-07-03,0.00298459055879182
2020-07-04,0.0029817847183870993
2020-07-05,0.0029789788779823767
2020-07-06,0.0029136419516109734
2020-07-07,0.002953444550051115
2020-07-08,0.0031148959425287533
2020-07-09,0.0030891234983722446
2020-07-10,0.003177151666255107
2020-07-11,0.0031742857911900447
2020-07-12,0.003171419916124981
2020-07-13,0.003094789364426769
2020-07-14,0.003280515438653959
2020-07-15,0.0031844838751009614
2020-07-16,0.0032045807804806756
2020-07-17,0.0032743358040161555
2020-07-18,0.003271421490244465
2020-07-19,0.003268507176472775
2020-07-20,0.0032346735878172697
2020-07-21,0.0033136414223557667
2020-07-22,0.003418104517097637
2020-07-23,0.00333331505558812
2020-07-24,0.0033520648510782904
2020-07-25,0.0033490756446078896
2020-07-26,0.0033460864381374866
2020-07-27,0.0035014211935382074
2020-07-28,0.003355582169951956
2020-07-29,0.0031679962684093704
2020-07-30,0.0031553617614594673
2020-07-31,0.0031341726351172333
2020-08-01,0.003131009374166364
2020-08-02,0.003127846113215496
2020-08-03,0.003416622168900591
2020-08-04,0.003461636172681755
2020-08-05,0.003607141863102576
2020-08-06,0.003692441950244537
2020-08-07,0.003662463889201385
2020-08-08,0.0036590292578215526
2020-08-09,0.0036555946264417187
2020-08-10,0.003655205287694318
2020-08-11,0.0035554996070390602
2020-08-12,0.003578983401150676
2020-08-13,0.003621298592550756
2020-08-14,0.0035786664474107906
2020-08-15,0.0035754686429358114
2020-08-16,0.00357227083846083
2020-08-17,0.003556786650015943
2020-08-18,0.0035088044614238483
2020-08-19,0.003502109052598211
2020-08-20,0.0034600553490207243
2020-08-21,0.0034703163084863677
2020-08-22,0.00346694220820294
2020-08-23,0.0034635681079195147
2020-08-24,0.003512465469304892
2020-08-25,0.0035143723357680934
2020-08-26,0.0036420690445723393
2020-08-27,0.003608364502236305
2020-08-28,0.0035881325742556924
2020-08-29,0.003584880333108999
2020-08-30,0.0035816280919623083
2020-08-31,0.0035114797804028756
2020-09-01,0.0035997358066805645
2020-09-02,0.003722334787895049
2020-09-03,0.003647384436476931
2020-09-04,0.0036322701523572583
2020-09-05,0.003628850694045542
2020-09-06,0.0036254312357338254
2020-09-07,0.0036220117774221094
2020-09-08,0.0035234710098633044
2020-09-09,0.0036637431851742593
2020-09-10,0.0036705351573321186
2020-09-11,0.0037014693731441586
2020-09-12,0.00369787225558237
2020-09-13,0.0036942751380205827
2020-09-14,0.003880068725734022
2020-09-15,0.003708346959227949
2020-09-16,0.003800941716658544
2020-09-17,0.0037841885259614896
2020-09-18,0.003680353889260842
2020-09-19,0.0036764955250215394
2020-09-20,0.0036726371607822385
2020-09-21,0.003376533504749839
2020-09-22,0.0033229769197155212
2020-09-23,0.003010855355679957
2020-09-24,0.0028954786488627543
2020-09-25,0.0027195406163080496
2020-09-26,0.00271510411106045
2020-09-27,0.002710667605812845
2020-09-28,0.0026826635258623043
2020-09-29,0.0027726275566243882
2020-09-30,0.0028389190230219095
2020-10-01,0.00290981066428551
2020-10-02,0.0029152844669173444
2020-10-03,0.0029114066911398334
2020-10-04,0.0029075289153623236
2020-10-05,0.0030621242927569015
2020-10-06,0.003059290451818069
2020-10-07,0.003101098056899201
2020-10-08,0.003129818502333158
2020-10-09,0.003084621684406074
2020-10-10,0.0030808394620082244
2020-10-11,0.003077057239610372
2020-10-12,0.003151950897895436
2020-10-13,0.0031232153463755415
2020-10-14,0.0031402639183845684
2020-10-15,0.0030388582490991755
2020-10-16,0.0031056954604426062
2020-10-17,0.0031017986308909443
2020-10-18,0.003097901801339284
2020-10-19,0.003165333654628277
2020-10-20,0.003606901903898652
2020-10-21,0.003499899878255209
2020-10-22,0.0036002886076021935
2020-10-23,0.003472877120577084
2020-10-24,0.003469347692432644
2020-10-25,0.0034658182642882014
2020-10-26,0.003454856413455616
2020-10-27,0.0031096309615536557
2020-10-28,0.0029650631103358936
2020-10-29,0.002821700076489458
2020-10-30,0.002924488874132344
2020-10-31,0.0029209250389220765
2020-11-01,0.0029173612037118107
2020-11-02,0.002997074150575596
2020-11-03,0.0032871396915636506
2020-11-04,0.0033544097369131976
2020-11-05,0.0035218602356641778
2020-11-06,0.003523176997266681
2020-11-07,0.003520034180459494
2020-11-08,0.00351689136365231
2020-11-09,0.0034774985427739784
2020-11-10,0.00355562114790999
2020-11-11,0.0034569777480349005
2020-11-12,0.003482579206473289
2020-11-13,0.00354317558029648
2020-11-14,0.0035405806059019907
2020-11-15,0.003537985631507502
2020-11-16,0.0037007840740410757
2020-11-17,0.0038350212399626085
2020-11-18,0.0037076203071587733
2020-11-19,0.0037825142927900165
2020-11-20,0.003768012931864762
2020-11-21,0.0037656247807567184
2020-11-22,0.0037632366296486757
2020-11-23,0.0037923064215445793
2020-11-24,0.003798998910987672
2020-11-25,0.0037442158046506043
2020-11-26,0.003742139108663642
2020-11-27,0.003707815558693737
2020-11-28,0.0037057616310921344
2020-11-29,0.003703707703490531
2020-11-30,0.0036262918518409903
2020-12-01,0.0036498619411234855
2020-12-02,0.003629595548453774
2020-12-03,0.003592048174507918
2020-12-04,0.0035594160922284832
2020-12-05,0.0035576356992745636
2020-12-06,0.0035558553063206443
2020-12-07,0.0036319200846753477
2020-12-08,0.0036640618689807117
2020-12-09,0.003645327584732413
2020-12-10,0.0035569181411969015
2020-12-11,0.0035029208491203067
2020-12-12,0.0035007606607888597
2020-12-13,0.0034986004724574114
2020-12-14,0.0034778809668051395
2020-12-15,0.003579904466337622
2020-12-16,0.00356825192330347
2020-12-17,0.003528565923063068
2020-12-18,0.0035495485457888772
2020-12-19,0.003547325634669046
2020-12-20,0.003545102723549218
2020-12-21,0.003499766419022992
2020-12-22,0.0034540378173224307
2020-12-23,0.0035763375266565202
2020-12-24,0.003553595414593092
2020-12-25,0.0035513430921026126
2020-12-26,0.003549090769612134
2020-12-27,0.003546838447121655
2020-12-28,0.0035659790663673564
2020-12-29,0.0035777958802320656
2020-12-30,0.003545854665879843
2020-12-31,0.003572749223580486
2021-01-01,0.0035704727279997506
2021-01-02,0.0035681962324190146
2021-01-03,0.0035659197368382795
2021-01-04,0.003638773672786559
2021-01-05,0.0037411466201427226
2021-01-06,0.003760068139541403
2021-01-07,0.0038863617615744915
2021-01-08,0.0038225340884146556
2021-01-09,0.0038207151869913848
2021-01-10,0.0038188962855681126
2021-01-11,0.003817179952486956
2021-01-12,0.003829305875976026
2021-01-13,0.0037826421125932205
2021-01-14,0.0038008073556374425
2021-01-15,0.003788181147387457
2021-01-16,0.003786253482770473
2021-01-17,0.00378432581815349
2021-01-18,0.0037823981535365057
2021-01-19,0.0036754242874355554
2021-01-20,0.003699822682300096
2021-01-21,0.0036554549410047635
2021-01-22,0.0036765791062406566
2021-01-23,0.00367472480912253
2021-01-24,0.0036728705120044032
2021-01-25,0.0035986509853086967
2021-01-26,0.003710861947485965
2021-01-27,0.0036047853785210883
2021-01-28,0.0037878814642611607
2021-01-29,0.0036098594218675452
2021-01-30,0.0036076486782347416
2021-01-31,0.0036054379346019396
2021-02-01,0.003680301578691575
2021-02-02,0.00372621419795523
2021-02-03,0.0037608858480637913
2021-02-04,0.0037422944615888914
2021-02-05,0.0037411621403407964
2021-02-06,0.0037391035436473777
2021-02-07,0.00373704494695396
2021-02-08,0.0038617908690622886
2021-02-09,0.003836012759375643
2021-02-10,0.0038490777305770743
2021-02-11,0.0038190875655141946
2021-02-12,0.003822950875154144
2021-02-13,0.003821125646777026
2021-02-14,0.003819300418399907
2021-02-15,0.003817475190022789
2021-02-16,0.0038516516986338333
2021-02-17,0.0037928761806310255
2021-02-18,0.0037568228540942987
2021-02-19,0.0037829369187586006
2021-02-20,0.003781440821545794
2021-02-21,0.003779944724332988
2021-02-22,0.0038080965769086107
2021-02-23,0.003785748832800909
2021-02-24,0.003839552047638001
2021-02-25,0.0038115474407885677
2021-02-26,0.003768392174684842
2021-02-27,0.0037669226041540235
2021-02-28,0.0037654530336232043
2021-03-01,0.003843541382607236
2021-03-02,0.003871706326840623
2021-03-03,0.003815248550493835
2021-03-04,0.003743090553202017
2021-03-05,0.003747811354517177
2021-03-06,0.0037465100704839193
2021-03-07,0.0037452087864506605
2021-03-08,0.003721975126788281
2021-03-09,0.0037251430627687726
2021-03-10,0.0037299114409765936
2021-03-11,0.003748140326595918
2021-03-12,0.003743369045144431
2021-03-13,0.003741900442467693
2021-03-14,0.0037404318397909544
2021-03-15,0.0037356089766576363
2021-03-16,0.0037688390576021023
2021-03-17,0.003801243788723698
2021-03-18,0.00383511814446215
2021-03-19,0.0038508999439005164
2021-03-20,0.0038495016986730204
2021-03-21,0.0038481034534455245
2021-03-22,0.0038815654072983543
2021-03-23,0.0038016165003584104
2021-03-24,0.003828727249854538
2021-03-25,0.003883661224952138
2021-03-26,0.003872966919101982
2021-03-27,0.003871430926634548
2021-03-28,0.0038698949341671148
2021-03-29,0.0037694771592049676
2021-03-30,0.003748087280318494
2021-03-31,0.003744936283653766
2021-04-01,0.003812878901883322
2021-04-02,0.003811349459365931
2021-04-03,0.003809820016848541
2021-04-04,0.00380829057433115
2021-04-05,0.003834641608028196
2021-04-06,0.0038860876266576124
2021-04-07,0.0038702407065326163
2021-04-08,0.0038453817003446435
2021-04-09,0.003858492779558768
2021-04-10,0.0038570976128188823
2021-04-11,0.0038557024460789957
2021-04-12,0.003853296738079736
2021-04-13,0.0037544022367533235
2021-04-14,0.0037762928482814387
2021-04-15,0.00379992449511202
2021-04-16,0.0038413611321151783
2021-04-17,0.0038399060200379033
2021-04-18,0.0038384509079606283
2021-04-19,0.003793477185993159
2021-04-20,0.0037417249026936382
2021-04-21,0.0037068643180388737
2021-04-22,0.0036731658670797534
2021-04-23,0.0036807085428121017
2021-04-24,0.003679105852385934
2021-04-25,0.003677503161959767
2021-04-26,0.0036697979394595477
2021-04-27,0.0035502235799596926
2021-04-28,0.0036060849994889
2021-04-29,0.0035667457397429323
2021-04-30,0.003541028343176739
2021-05-01,0.003539804311873107
2021-05-02,0.0035385802805694743
2021-05-03,0.0035839900157232764
2021-05-04,0.0035079394793899998
2021-05-05,0.0035229157151152385
2021-05-06,0.003566426404064394
2021-05-07,0.0035893018793769454
2021-05-08,0.003588172619297561
2021-05-09,0.003587043359218177
2021-05-10,0.0035148780175382837
2021-05-11,0.00349664197362835
2021-05-12,0.0034922614399086234
2021-05-13,0.003526236198661455
2021-05-14,0.003529862414904114
2021-05-15,0.003528735727449403
2021-05-16,0.0035276090399946913
2021-05-17,0.003559421827859009
2021-05-18,0.0035480644237838857
2021-05-19,0.0035407971737181736
2021-05-20,0.0035792995412371803
2021-05-21,0.0036010533030540392
2021-05-22,0.0035998999988752865
2021-05-23,0.003598746694696536
2021-05-24,0.0036094033096138282
2021-05-25,0.003612519827753094
2021-05-26,0.0036006827754444483
2021-05-27,0.003628820001300152
2021-05-28,0.0036331174396239995
2021-05-29,0.0036321498508420976
2021-05-30,0.0036311822620601966
2021-05-31,0.0036302146732782948
2021-06-01,0.003670607997056883
2021-06-02,0.003647335504574256
2021-06-03,0.003676573847258618
2021-06-04,0.0036688676449906626
2021-06-05,0.0036677614768521913
2021-06-06,0.003666655308713719
2021-06-07,0.003664554989275792
2021-06-08,0.003666310456707976
2021-06-09,0.003652676046468861
2021-06-10,0.0036418413745968213
2021-06-11,0.0036451455764787313
2021-06-12,0.0036439166896815615
2021-06-13,0.0036426878028843917
2021-06-14,0.0036400804480328074
2021-06-15,0.003663616447385652
2021-06-16,0.003626055803634641
2021-06-17,0.003585293351086373
2021-06-18,0.003569209501809867
2021-06-19,0.003567713404597061
2021-06-20,0.0035662173073842543
2021-06-21,0.003568623569676671
2021-06-22,0.003549760558753698
2021-06-23,0.0035654222650720758
2021-06-24,0.0035902461116475407
2021-06-25,0.0035815613515719803
2021-06-26,0.0035801139198701603
2021-06-27,0.0035786664881683394
2021-06-28,0.003578206098854278
2021-06-29,0.003583106909136529
2021-06-30,0.0035561674104995955
2021-07-01,0.003562155503480192
2021-07-02,0.0035701133616145974
2021-07-03,0.003568481233537594
2021-07-04,0.0035668491054605877
2021-07-05,0.0035652169773835824
2021-07-06,0.0035190476028674617
2021-07-07,0.0034825741514973967
2021-07-08,0.003432199334561549
2021-07-09,0.003459578830373802
2021-07-10,0.0034578977950494526
2021-07-11,0.0034562167597251042
2021-07-12,0.0034926537865949516
2021-07-13,0.003476560568394302
2021-07-14,0.0034935476752682194
2021-07-15,0.0034958448442585755
2021-07-16,0.003505971669239868
2021-07-17,0.003504094074935566
2021-07-18,0.003502216480631262
2021-07-19,0.003491951672019427
2021-07-20,0.003693687509032994
2021-07-21,0.0037966937508464964
2021-07-22,0.003774192540271615
2021-07-23,0.0038321504570643797
2021-07-24,0.003830321635466265
2021-07-25,0.003828492813868151
2021-07-26,0.0038891655776949283
2021-07-27,0.003879771704931011
2021-07-28,0.003883476472772202
2021-07-29,0.003964086570609833
2021-07-30,0.003963710242638505
2021-07-31,0.003961906272474841
2021-08-01,0.003960102302311177
2021-08-02,0.003980773897985592
2021-08-03,0.004001176226582387
2021-08-04,0.003976420015985269
2021-08-05,0.003996569546262516
2021-08-06,0.004018970024469602
2021-08-07,0.004017346838337956
2021-08-08,0.004015723652206309
2021-08-09,0.004007870213777788
2021-08-10,0.004024390286120596
2021-08-11,0.004044886426706993
2021-08-12,0.004046211932858071
2021-08-13,0.0040592292583545575
2021-08-14,0.004057624534121476
2021-08-15,0.004056019809888397
2021-08-16,0.004051265511848664
2021-08-17,0.004012009441487472
2021-08-18,0.003992431929133865
2021-08-19,0.003975611490264255
2021-08-20,0.00397534562592347
2021-08-21,0.003973469290728294
2021-08-22,0.003971592955533118
2021-08-23,0.00399845784947498
2021-08-24,0.004036740597169501
2021-08-25,0.004059393304820832
2021-08-26,0.0040034992217300985
2021-08-27,0.004039605802606359
2021-08-28,0.004037745438995089
2021-08-29,0.004035885075383821
2021-08-30,0.003992339426321968
2021-08-31,0.003999552488275445
2021-09-01,0.004012026668343799
2021-09-02,0.004009634107295305
2021-09-03,0.004005304020510733
2021-09-04,0.00400332870488591
2021-09-05,0.004001353389261085
2021-09-06,0.003999378073636262
2021-09-07,0.004012521472661025
2021-09-08,0.003980083412216206
2021-09-09,0.003959278091748683
2021-09-10,0.00396694662961372
2021-09-11,0.00396483482524854
2021-09-12,0.003962723020883361
2021-09-13,0.003998414443587597
2021-09-14,0.00398538014318723
2021-09-15,0.004020932869698903
2021-09-16,0.004042106765751142
2021-09-17,0.003913707917598791
2021-09-18,0.0039115408007228125
2021-09-19,0.003909373683846836
2021-09-20,0.003656214732245675
2021-09-21,0.003616643813443691
2021-09-22,0.0036545467180092253
2021-09-23,0.0036712630597892718
2021-09-24,0.0037017485917422524
2021-09-25,0.003699552687696708
2021-09-26,0.0036973567836511637
2021-09-27,0.0037222169999204875
2021-09-28,0.003705660879480489
